accession	cohort	v5_completeness	v5_contamination	v5_mimag	checkm2_completeness	checkm2_contamination	checkm2_mimag	total_bp	log10_total_bp	n_contigs	n50	longest_contig	mean_contig_bp	gc_pct	has_kraken2_output
GCA_048425005.1	neither_hq	85.22645	0.11766255	MQ	88.8	0.98	MQ	1620990	6.2098	171	12283	75134	9479.5	62.025	False
GCA_048428545.1	disagreement_141	85.10075	0.10340512	MQ	91.03	2.82	HQ	3016132	6.4795	236	16920	56064	12780.2	64.608	True
GCA_048491915.1	disagreement_141	55.629852	32.329674	LQ	97.63	0.01	HQ	847736	5.9283	39	30238	63394	21736.8	38.604	True
GCA_048503635.1	neither_hq	77.26785	0.24621189	MQ	78.24	2.99	MQ	2514387	6.4004	683	4318	20791	3681.4	65.687	False
GCA_048503775.1	neither_hq	78.37751	0.023338199	MQ	75.7	1.98	MQ	1369241	6.1365	561	2809	8462	2440.7	53.991	False
GCA_048521985.1	neither_hq	71.30464	0.008034706	MQ	75.73	1.95	MQ	1788489	6.2525	273	7985	36196	6551.2	41.922	False
GCA_048527445.1	neither_hq	75.45206	0.15776455	MQ	80.17	0.97	MQ	1400976	6.1464	212	7751	25991	6608.4	46.453	False
GCA_048535265.1	disagreement_141	86.42712	0.21836162	MQ	98.92	0.57	HQ	1903751	6.2796	74	40595	183830	25726.4	59.705	True
GCA_048561425.1	disagreement_141	87.94443	12.419516	LQ	100.0	1.15	HQ	3621627	6.5589	1495	4743	28994	2422.5	43.639	True
GCA_048569215.1	neither_hq	99.999794	99.74009	LQ	100.0	99.55	LQ	45443492	7.6575	40535	1212	65483	1121.1	61.678	False
GCA_048614655.1	neither_hq	52.003365	0.23634732	MQ	32.66	4.0	LQ	1526866	6.1838	260	6858	22218	5872.6	64.388	False
GCA_049282835.1	disagreement_141	98.08657	19.41846	LQ	95.42	1.52	HQ	5067105	6.7048	179	62967	203208	28307.8	59.129	True
GCA_049324695.1	disagreement_141	97.80748	15.378988	LQ	98.81	4.8	HQ	9979657	6.9991	69	234877	547971	144632.7	63.254	True
GCA_049510975.1	agree_clean	99.697205	1.2719005	HQ	90.78	1.14	HQ	4097705	6.6125	86	89998	289230	47647.7	68.604	False
GCA_049581465.1	agree_clean	99.479675	0.082585216	HQ	91.06	3.74	HQ	6761753	6.8301	1434	5827	47374	4715.3	59.887	False
GCA_049619655.1	neither_hq	59.233635	0.0005155802	MQ	74.57	3.27	MQ	1275502	6.1057	456	3707	21497	2797.2	51.975	False
GCA_049621365.1	neither_hq	50.92879	0.005581975	MQ	52.05	0.85	MQ	939291	5.9728	628	1477	4854	1495.7	56.67	False
GCA_049645345.1	neither_hq	71.848404	0.08523166	MQ	84.63	0.55	MQ	2840513	6.4534	730	4592	20715	3891.1	36.608	False
GCA_049840515.1	disagreement_141	78.669754	2.5625288	MQ	91.27	1.76	HQ	2986087	6.4751	28	201501	881703	106646.0	42.607	True
GCA_049970495.1	disagreement_141	90.60214	5.628517	MQ	95.94	1.88	HQ	1988594	6.2985	143	25676	109424	13906.3	36.795	True
GCA_050013135.1	neither_hq	78.01178	64.62436	LQ	99.11	13.07	LQ	8344117	6.9214	688	18393	99752	12128.1	56.889	False
GCA_050171275.1	agree_clean	99.66359	0.18409789	HQ	99.97	0.34	HQ	1374970	6.1383	3	868288	868288	458323.3	48.78	False
GCA_050186415.1	agree_clean	99.90043	1.1943638	HQ	94.38	4.53	HQ	7637527	6.883	423	26909	92963	18055.6	69.166	False
GCA_050253165.1	agree_clean	94.57095	3.0933022	HQ	100.0	0.25	HQ	2646749	6.4227	35	132814	328496	75621.4	47.636	False
GCA_050294045.1	agree_clean	92.97124	0.47628284	HQ	92.17	0.75	HQ	3927163	6.5941	329	39754	125920	11936.7	50.374	False
GCA_050304835.1	neither_hq	79.11115	0.088855624	MQ	85.0	1.06	MQ	3268996	6.5144	87	102346	296434	37574.7	62.358	False
GCA_050486045.1	neither_hq	67.24272	1.5334487	MQ	47.93	0.45	LQ	2884632	6.4601	941	3270	11531	3065.5	47.487	False
GCA_050949705.1	disagreement_141	79.283195	13.875094	LQ	95.08	1.48	HQ	2489808	6.3962	21	202195	412779	118562.3	36.628	True
GCA_051002135.1	agree_clean	99.68625	0.7528186	HQ	94.55	1.6	HQ	4244996	6.6279	86	74501	278875	49360.4	62.01	False
GCA_051002645.1	neither_hq	98.51117	14.838609	LQ	85.44	5.52	MQ	4618062	6.6645	534	10943	40098	8648.1	65.068	False
GCA_051011235.1	neither_hq	82.35154	0.9733975	MQ	87.17	2.91	MQ	2820624	6.4503	386	9389	43150	7307.3	41.89	False
GCA_051270635.1	disagreement_141	99.19812	11.948755	LQ	93.7	1.51	HQ	7862417	6.8956	419	26933	119096	18764.7	54.07	True
GCA_051656445.1	disagreement_141	80.6943	4.4070573	MQ	91.22	3.58	HQ	2447981	6.3888	655	4695	14812	3737.4	53.519	True
GCA_051751625.1	agree_clean	99.93886	0.7223159	HQ	100.0	0.0	HQ	3769924	6.5763	53	263576	610504	71130.6	41.434	False
GCA_051859865.1	agree_clean	99.84517	0.30021667	HQ	91.91	3.5	HQ	3413646	6.5332	588	8012	33476	5805.5	43.759	False
GCA_051861365.1	agree_clean	99.77156	1.5273005	HQ	99.99	0.09	HQ	3379704	6.5289	75	101520	208014	45062.7	39.202	False
GCA_051873075.1	disagreement_141	89.484276	1.7819911	MQ	93.75	2.08	HQ	1713025	6.2338	83	36055	144284	20638.9	51.331	True
GCA_051874775.1	disagreement_141	67.64038	35.292583	LQ	97.33	1.54	HQ	1643850	6.2159	39	67922	150780	42150.0	47.778	True
GCA_051882635.1	v5hq_only	99.98067	0.0071704388	HQ	85.31	0.37	MQ	2095987	6.3214	545	4291	22357	3845.8	51.779	True
GCA_052086065.1	disagreement_141	87.28264	0.14001727	MQ	98.94	0.44	HQ	3668688	6.5645	131	58518	175195	28005.3	63.236	True
GCA_052094525.1	neither_hq	81.5332	1.0345161	MQ	79.57	3.54	MQ	3403304	6.5319	397	11281	70714	8572.6	70.209	False
GCA_052109275.1	disagreement_141	84.554596	0.26167333	MQ	91.72	1.7	HQ	3538844	6.5489	172	46486	131221	20574.7	63.182	True
GCA_052271025.1	agree_clean	96.86636	0.040370226	HQ	99.97	0.03	HQ	2658611	6.4247	221	27535	77512	12029.9	41.16	False
GCA_052347385.1	agree_clean	99.92682	0.19849241	HQ	99.99	0.24	HQ	4863133	6.6869	47	199749	393334	103470.9	41.288	False
GCA_052365645.1	neither_hq	50.436375	1.2230664	MQ	85.37	0.15	MQ	272762	5.4358	1	272762	272762	272762.0	22.748	False
GCA_052369855.1	neither_hq	66.94534	0.10498166	MQ	70.57	0.06	MQ	2411516	6.3823	132	35496	112527	18269.1	42.076	False
GCA_052733055.1	disagreement_141	83.08392	0.1269728	MQ	91.79	1.02	HQ	2769163	6.4423	148	34121	133493	18710.6	35.786	True
GCA_052746475.1	agree_clean	99.76361	0.39822757	HQ	99.98	0.71	HQ	4463789	6.6497	187	40482	147550	23870.5	58.292	False
GCA_052846675.1	v5hq_only	99.44365	0.0041395426	HQ	82.99	3.0	MQ	1977850	6.2962	180	15493	52111	10988.1	50.615	True
GCA_053492575.1	agree_clean	99.82562	2.6068807	HQ	97.88	0.33	HQ	4743184	6.6761	135	54576	188181	35134.7	55.283	False
GCA_053497875.1	disagreement_141	85.47356	2.6081114	MQ	95.65	1.32	HQ	2373738	6.3754	48	66067	218193	49452.9	65.277	True
GCA_053526915.1	disagreement_141	85.60852	1.855737	MQ	99.66	0.2	HQ	1618686	6.2092	90	28566	101540	17985.4	36.871	True
GCA_054012295.1	agree_clean	99.919785	0.003105402	HQ	99.97	0.0	HQ	1805196	6.2565	35	100355	153742	51577.0	47.263	False
GCA_054019635.1	v5hq_only	99.87957	4.9490542	HQ	93.87	5.01	MQ	2655696	6.4242	412	8475	59016	6445.9	30.418	True
GCA_054040315.1	disagreement_141	99.80986	17.307032	LQ	95.33	0.47	HQ	991928	5.9965	77	23654	80582	12882.2	30.651	True
GCA_054186275.1	disagreement_141	76.78789	3.7255168	MQ	93.27	0.0	HQ	1766851	6.2472	125	25398	103291	14134.8	42.129	True
GCA_054288385.1	neither_hq	83.77995	0.0053316355	MQ	68.02	2.3	MQ	1978356	6.2963	392	6203	32428	5046.8	43.743	False
GCA_054297525.1	v5hq_only	99.953384	1.0787129	HQ	89.96	1.47	MQ	2221251	6.3466	239	12695	69983	9293.9	40.968	True
GCA_054302825.1	neither_hq	71.96594	7.996383	MQ	68.97	4.16	MQ	3569010	6.5525	1082	3596	14643	3298.5	71.293	False
GCA_054302865.1	neither_hq	53.58735	23.767134	LQ	69.23	2.4	MQ	4705103	6.6726	1698	2884	11555	2771.0	69.844	False
GCA_054320415.1	agree_clean	99.939545	0.22681952	HQ	93.37	3.23	HQ	9217369	6.9646	528	21067	95745	17457.1	67.584	False
GCA_054602775.1	disagreement_141	93.534775	5.8497963	MQ	97.97	0.54	HQ	2177818	6.338	73	40805	98592	29833.1	61.665	True
GCA_054920615.1	neither_hq	79.77997	0.2883494	MQ	63.61	0.34	MQ	3398996	6.5314	747	4806	17780	4550.2	56.644	False
GCA_055070135.1	neither_hq	63.334427	0.034970045	MQ	53.55	3.37	MQ	3485688	6.5423	304	12286	54248	11466.1	70.71	False
GCA_055070965.1	neither_hq	82.30631	2.1517367	MQ	61.8	1.33	MQ	4174281	6.6206	296	16908	52206	14102.3	73.051	False
GCA_055082815.1	agree_clean	99.749985	0.20712614	HQ	95.08	3.2	HQ	5955880	6.7749	149	56105	172579	39972.3	66.569	False
GCA_055089715.1	neither_hq	86.180786	34.742832	LQ	89.44	3.13	MQ	7301806	6.8634	139	94510	340660	52531.0	58.832	False
GCA_055118855.1	neither_hq	58.55955	1.4248699	MQ	78.46	0.0	MQ	542845	5.7347	44	17325	32764	12337.4	40.843	False
GCA_055133495.1	v5hq_only	98.62018	0.38756728	HQ	87.14	0.25	MQ	2268131	6.3557	87	40928	117345	26070.5	40.071	True
GCA_055150975.1	neither_hq	58.670807	0.089898705	MQ	63.17	0.15	MQ	1370876	6.137	140	9979	24927	9792.0	48.388	False
GCA_055171475.1	neither_hq	76.45033	14.205888	LQ	83.19	6.24	MQ	3791330	6.5788	283	16776	66664	13396.9	66.744	False
GCA_055183735.1	neither_hq	62.16872	0.019958615	MQ	67.85	0.83	MQ	2102819	6.3228	192	11995	40486	10952.2	38.36	False
GCA_055496775.1	neither_hq	86.47788	0.1144886	MQ	88.07	0.2	MQ	3105960	6.4922	104	46316	134842	29865.0	64.411	False
GCA_055612895.1	neither_hq	80.209465	8.31564	MQ	100.0	5.61	MQ	5387401	6.7314	571	18737	110299	9435.0	62.357	False
GCA_055868925.1	neither_hq	80.63089	1.6229451	MQ	81.83	0.01	MQ	2421952	6.3842	151	21112	121825	16039.4	68.369	False
GCA_055874565.1	agree_clean	99.82025	2.6424587	HQ	99.18	0.02	HQ	4232040	6.6265	73	84836	293037	57973.2	55.348	False
GCA_055881975.1	neither_hq	72.3361	0.082570314	MQ	77.32	0.57	MQ	1844743	6.2659	225	10539	35869	8198.9	62.093	False
GCA_055896255.1	agree_clean	97.288605	0.39580762	HQ	95.04	1.88	HQ	2879004	6.4592	100	41654	162315	28790.0	61.345	False
GCA_055896775.1	v5hq_only	90.15154	0.0	HQ	56.89	0.35	MQ	1530355	6.1848	102	17931	45680	15003.5	48.129	True
GCA_055917085.1	neither_hq	59.0275	0.3957957	MQ	52.3	1.76	MQ	2979591	6.4742	697	4308	14389	4274.9	59.83	False
GCA_055929065.1	neither_hq	63.493088	12.325562	LQ	75.48	1.4	MQ	1304086	6.1153	156	10184	47403	8359.5	31.557	False
GCA_055962315.1	disagreement_141	95.67377	50.675446	LQ	97.96	0.04	HQ	3310086	6.5198	42	116990	274950	78811.6	50.784	True
GCA_900313405.1	neither_hq	79.53191	0.004249811	MQ	69.26	5.98	MQ	1691595	6.2283	317	5971	20836	5336.3	49.302	False
GCA_900316295.1	neither_hq	73.4532	0.267151	MQ	86.32	0.34	MQ	2387511	6.3779	64	60705	219897	37304.9	47.333	False
GCA_900540455.1	agree_clean	97.659836	0.13589859	HQ	94.96	0.1	HQ	2304686	6.3626	71	56556	166081	32460.4	58.189	False
GCA_900554025.1	neither_hq	80.57878	0.087341666	MQ	81.49	3.13	MQ	1894430	6.2775	455	4431	36777	4163.6	62.713	False
GCA_900757745.1	neither_hq	56.09998	1.0670364	MQ	54.67	2.57	MQ	1434875	6.1568	381	4267	15798	3766.1	56.024	False
GCA_900758195.1	neither_hq	51.411488	0.00962317	MQ	60.85	0.13	MQ	1547603	6.1897	360	4363	20685	4298.9	60.853	False
GCA_900768675.1	agree_clean	99.95923	0.05055666	HQ	91.07	3.18	HQ	2266394	6.3553	255	11681	32774	8887.8	46.813	False
GCA_902463845.1	agree_clean	99.83244	1.5416235	HQ	96.54	0.72	HQ	4988607	6.698	373	20679	80128	13374.3	52.208	False
GCA_902474065.1	v5hq_only	99.96513	2.2427468	HQ	95.22	5.31	MQ	2180868	6.3386	220	15504	59511	9913.0	44.185	True
GCA_902475725.1	v5hq_only	99.80942	1.0991305	HQ	85.41	1.41	MQ	2556781	6.4077	84	50031	224933	30437.9	55.877	True
GCA_902482005.1	neither_hq	80.42921	0.1704514	MQ	79.64	1.49	MQ	1811394	6.258	324	7204	18970	5590.7	61.326	False
GCA_902483105.1	agree_clean	99.80503	0.09149313	HQ	99.24	0.02	HQ	2929430	6.4668	95	42023	121797	30836.1	53.805	False
GCA_902484735.1	neither_hq	75.64215	0.5047411	MQ	72.45	1.04	MQ	1648873	6.2172	931	1786	16500	1771.1	59.92	False
GCA_902493225.1	neither_hq	97.7193	24.70254	LQ	100.0	5.87	MQ	1809545	6.2576	35	89300	199424	51701.3	26.432	False
GCA_902514765.1	neither_hq	55.113983	7.182625	MQ	67.88	0.02	MQ	902813	5.9556	40	36741	134381	22570.3	34.663	False
GCA_902514785.1	neither_hq	50.22545	0.99279284	MQ	32.27	0.03	LQ	536674	5.7297	53	17093	70270	10125.9	31.112	False
GCA_902517505.1	neither_hq	79.73803	0.5208492	MQ	83.08	0.0	MQ	1064759	6.0273	28	63564	161885	38027.1	31.987	False
GCA_902527045.1	neither_hq	72.71905	2.6198685	MQ	82.25	0.12	MQ	1148299	6.0601	34	63595	173749	33773.5	30.726	False
GCA_902527545.1	neither_hq	83.41694	2.9451818	MQ	87.02	0.45	MQ	1304787	6.1155	36	97655	244847	36244.1	30.69	False
GCA_902545115.1	neither_hq	50.339397	0.2680868	MQ	31.82	0.03	LQ	820272	5.914	59	19699	73156	13902.9	38.205	False
GCA_902556595.1	neither_hq	52.884624	0.9640932	MQ	47.4	0.47	LQ	560963	5.7489	38	28308	81138	14762.2	30.213	False
GCA_902567305.1	neither_hq	50.35477	0.65328777	MQ	30.87	0.7	LQ	425978	5.6294	29	24764	56947	14688.9	30.604	False
GCA_902574605.1	neither_hq	70.58151	7.3089986	MQ	84.58	0.04	MQ	1223742	6.0877	27	92637	134335	45323.8	32.976	False
GCA_902588525.1	neither_hq	61.084206	12.310752	LQ	54.24	0.09	MQ	1370794	6.137	78	35839	160775	17574.3	38.984	False
GCA_902608745.1	neither_hq	50.349052	0.16765594	MQ	26.44	0.2	LQ	531604	5.7256	61	11435	32597	8714.8	30.641	False
GCA_902631535.1	neither_hq	66.26326	7.728675	MQ	81.31	0.03	MQ	893363	5.951	29	98712	171744	30805.6	29.65	False
GCA_902636375.1	agree_clean	97.9107	0.37278533	HQ	97.63	0.11	HQ	1191137	6.076	222	7620	22358	5365.5	35.071	False
GCA_902646835.1	neither_hq	82.43901	0.22568107	MQ	80.93	0.29	MQ	826759	5.9174	331	2875	12529	2497.8	32.061	False
GCA_902757675.1	agree_clean	99.94302	0.9060025	HQ	99.93	1.11	HQ	3047119	6.4839	21	221010	477939	145100.9	48.818	False
GCA_902771135.1	neither_hq	77.65123	0.15681386	MQ	83.84	2.53	MQ	2095511	6.3213	292	9355	37936	7176.4	52.607	False
GCA_902776905.1	agree_clean	99.85149	1.1238962	HQ	95.45	0.25	HQ	3013282	6.479	21	254085	420914	143489.6	42.162	False
GCA_902779555.1	v5hq_only	99.96208	0.26676953	HQ	84.68	0.81	MQ	3159245	6.4996	62	75568	213868	50955.6	55.219	True
GCA_902782995.1	v5hq_only	97.807785	0.0011086464	HQ	83.75	0.99	MQ	2261275	6.3544	182	17872	56685	12424.6	44.697	True
GCA_902784765.1	agree_clean	99.96105	1.6389608	HQ	91.3	0.93	HQ	2754885	6.4401	268	14109	72914	10279.4	58.413	False
GCA_902797625.1	disagreement_141	75.634384	1.0822743	MQ	95.18	0.1	HQ	1811845	6.2581	139	19595	65766	13034.9	35.11	True
GCA_903824355.1	neither_hq	50.99978	0.04195571	MQ	40.87	5.59	LQ	575153	5.7598	206	2833	19335	2792.0	41.4	False
GCA_903827645.1	neither_hq	52.89677	0.08327663	MQ	56.09	1.4	MQ	2329494	6.3673	720	3500	13904	3235.4	58.475	False
GCA_903829475.1	agree_clean	99.94342	0.52413344	HQ	100.0	2.69	HQ	4243950	6.6278	275	27476	104976	15432.5	65.111	False
GCA_903843005.1	neither_hq	98.31747	13.455012	LQ	76.81	6.05	MQ	4589189	6.6617	937	6945	46931	4897.7	57.574	False
GCA_903852135.1	disagreement_141	84.78137	0.57608485	MQ	94.4	4.85	HQ	1480201	6.1703	237	8694	37651	6245.6	46.42	True
GCA_903854505.1	agree_clean	99.871864	1.3348728	HQ	98.57	2.96	HQ	3680408	6.5659	53	231589	589249	69441.7	57.869	False
GCA_903858585.1	agree_clean	99.64584	3.003326	HQ	96.45	0.65	HQ	4847558	6.6855	154	78039	200428	31477.6	49.905	False
GCA_903863655.1	neither_hq	52.03301	0.08459389	MQ	50.73	1.09	MQ	1136045	6.0554	431	2658	8164	2635.8	54.322	False
GCA_903867375.1	v5hq_only	93.36795	0.6168544	HQ	86.99	3.32	MQ	1294055	6.112	261	6082	23339	4958.1	46.424	True
GCA_903871205.1	neither_hq	50.427666	0.015375018	MQ	51.99	1.13	MQ	818718	5.9131	332	2430	9397	2466.0	44.549	False
GCA_903876885.1	v5hq_only	99.91774	0.4836768	HQ	67.18	0.48	MQ	2222044	6.3468	116	37159	155206	19155.6	43.935	True
GCA_903878475.1	agree_clean	91.87286	0.07328093	HQ	100.0	1.0	HQ	2852283	6.4552	245	17427	82765	11642.0	42.9	False
GCA_903887525.1	agree_clean	98.945175	2.5314152	HQ	99.87	2.54	HQ	7270480	6.8616	284	51306	153255	25600.3	69.402	False
GCA_903894265.1	neither_hq	97.996185	50.946087	LQ	85.38	4.15	MQ	1543233	6.1884	511	3339	11468	3020.0	38.851	False
GCA_903898695.1	disagreement_141	99.6242	9.661332	MQ	97.81	0.96	HQ	4787948	6.6801	95	89749	291760	50399.5	61.016	True
GCA_903899585.1	agree_clean	99.96644	1.1785954	HQ	100.0	1.83	HQ	1892871	6.2771	240	13105	44946	7887.0	53.422	False
GCA_903901325.1	agree_clean	99.95869	0.5975932	HQ	94.78	0.03	HQ	2326884	6.3668	95	44649	104907	24493.5	42.448	False
GCA_903908245.1	agree_clean	99.83391	0.9433329	HQ	93.81	0.26	HQ	2159815	6.3344	34	80993	175914	63524.0	52.298	False
GCA_903910115.1	neither_hq	63.89326	0.10330677	MQ	76.46	1.59	MQ	1858457	6.2692	369	6170	28210	5036.5	60.984	False
GCA_903911735.1	neither_hq	64.831154	2.084732	MQ	61.04	1.68	MQ	1349265	6.1301	369	4422	19339	3656.5	38.415	False
GCA_903924435.1	neither_hq	56.48266	0.9926051	MQ	70.11	4.19	MQ	1224226	6.0879	377	3559	13180	3247.3	48.695	False
GCA_903939645.1	neither_hq	57.616165	13.170469	LQ	85.41	3.33	MQ	2878911	6.4592	467	8246	51351	6164.7	58.176	False
GCA_903943925.1	neither_hq	73.24362	0.24046004	MQ	68.91	2.88	MQ	2284336	6.3588	755	3249	12821	3025.6	68.065	False
GCA_903948385.1	agree_clean	95.98978	0.046172738	HQ	91.88	2.19	HQ	3234338	6.5098	648	6352	24186	4991.3	61.441	False
GCA_903950205.1	neither_hq	99.37326	8.091005	MQ	90.22	5.69	MQ	6031812	6.7804	635	20249	93242	9498.9	57.77	False
GCA_903952265.1	disagreement_141	54.315018	0.11792183	MQ	97.61	0.0	HQ	571808	5.7573	2	333063	333063	285904.0	36.693	True
GCA_905182275.1	agree_clean	95.56537	0.011172891	HQ	90.94	0.17	HQ	2017503	6.3048	88	34914	137444	22926.2	46.067	False
GCA_905198135.1	agree_clean	99.68858	0.9375721	HQ	97.43	1.85	HQ	1689097	6.2277	44	63066	157248	38388.6	28.096	False
GCA_905198875.1	agree_clean	99.94942	0.40293932	HQ	99.99	0.39	HQ	3625935	6.5594	48	134584	289711	75540.3	48.787	False
GCA_905373265.1	agree_clean	99.91494	0.39080977	HQ	99.59	0.08	HQ	2955558	6.4706	89	64723	153599	33208.5	38.517	False
GCA_910577175.1	agree_clean	99.95828	1.1068612	HQ	99.77	2.14	HQ	3142315	6.4972	29	203908	358746	108355.7	47.543	False
GCA_910577855.1	agree_clean	99.980095	2.0398111	HQ	95.61	0.07	HQ	2953134	6.4703	85	59439	176867	34742.8	42.87	False
GCA_910578655.1	v5hq_only	93.1002	0.46265423	HQ	88.74	3.14	MQ	1749860	6.243	138	20948	50292	12680.1	43.272	True
GCA_913048195.1	v5hq_only	94.848236	0.08358657	HQ	88.54	1.91	MQ	3080218	6.4886	368	11138	45879	8370.2	58.281	True
GCA_913057135.1	agree_clean	99.651344	0.16030967	HQ	98.5	0.03	HQ	2857914	6.456	103	57034	145872	27746.7	55.258	False
GCA_913057855.1	agree_clean	99.91008	0.5525589	HQ	99.75	0.0	HQ	4379164	6.6414	83	109962	297802	52761.0	58.773	False
GCA_913061305.1	agree_clean	91.350494	1.4734298	HQ	99.59	0.05	HQ	2680786	6.4283	16	327643	428867	167549.1	54.279	False
GCA_913775815.1	neither_hq	81.00067	0.19235611	MQ	81.94	4.87	MQ	3949681	6.5966	581	8196	44291	6798.1	57.478	False
GCA_919901925.1	agree_clean	99.707184	3.8915367	HQ	90.75	3.37	HQ	1788000	6.2524	201	15479	57971	8895.5	43.281	False
GCA_927351085.1	neither_hq	65.322754	0.0016212463	MQ	69.27	1.14	MQ	1434903	6.1568	278	5458	17917	5161.5	64.518	False
GCA_934202235.1	disagreement_141	79.70908	0.111055374	MQ	99.85	0.64	HQ	1616150	6.2085	75	28576	113538	21548.7	48.661	True
GCA_934294665.1	agree_clean	99.890335	0.46296716	HQ	100.0	0.79	HQ	1481515	6.1707	15	161989	250611	98767.7	41.075	False
GCA_934838595.1	agree_clean	99.942	3.1689405	HQ	94.19	0.52	HQ	2268677	6.3558	130	32387	107667	17451.4	56.199	False
GCA_934841885.1	agree_clean	99.77867	0.22298396	HQ	94.23	1.81	HQ	2557042	6.4077	61	71482	191933	41918.7	44.487	False
GCA_934852595.1	neither_hq	71.34126	0.06747544	MQ	72.32	0.02	MQ	1460243	6.1644	65	32679	86368	22465.3	61.146	False
GCA_934876215.1	agree_clean	99.56044	0.30352473	HQ	98.14	0.18	HQ	2390799	6.3785	48	119964	428672	49808.3	58.535	False
GCA_937870855.1	disagreement_141	69.05198	0.4454732	MQ	100.0	0.63	HQ	3224987	6.5085	211	22795	123476	15284.3	41.781	True
GCA_937881015.1	agree_clean	99.95352	0.14821589	HQ	99.99	0.2	HQ	1782169	6.2509	34	95708	215985	52416.7	37.767	False
GCA_937892725.1	neither_hq	69.44388	0.0865072	MQ	72.53	1.74	MQ	1553257	6.1912	733	2276	7701	2119.0	42.734	False
GCA_937897955.1	disagreement_141	73.79252	7.9890103	MQ	97.58	3.2	HQ	2001936	6.3015	248	24275	105826	8072.3	59.098	True
GCA_937899635.1	neither_hq	51.244926	1.8558651	MQ	60.37	2.49	MQ	1142031	6.0577	495	2519	8165	2307.1	51.62	False
GCA_937900615.1	agree_clean	99.80444	0.2353549	HQ	95.35	3.25	HQ	2351071	6.3713	229	16462	61538	10266.7	36.273	False
GCA_937901415.1	agree_clean	99.93098	0.89885294	HQ	100.0	0.13	HQ	4908699	6.691	93	256802	654874	52781.7	53.518	False
GCA_937919175.1	v5hq_only	95.65639	0.29511154	HQ	91.37	5.54	MQ	3633561	6.5603	650	7022	32440	5590.1	49.453	True
GCA_937930455.1	agree_clean	99.275375	4.8735647	HQ	99.21	0.37	HQ	2488096	6.3959	52	110528	297540	47848.0	59.477	False
GCA_937966125.1	agree_clean	99.96088	0.9984046	HQ	99.86	0.03	HQ	2839122	6.4532	86	70031	190068	33013.0	44.678	False
GCA_937995765.1	neither_hq	57.45926	0.0033020973	MQ	67.9	0.92	MQ	2093798	6.3209	209	13608	77323	10018.2	48.695	False
GCA_937996995.1	agree_clean	99.97359	0.58603287	HQ	99.85	0.0	HQ	4163586	6.6195	13	517405	901161	320275.8	43.715	False
GCA_938009135.1	disagreement_141	99.63043	9.431428	MQ	97.51	0.64	HQ	4169948	6.6201	165	30004	103133	25272.4	39.351	True
GCA_938022355.1	agree_clean	99.701225	0.12657344	HQ	95.46	0.24	HQ	2025830	6.3066	147	20127	60748	13781.2	29.958	False
GCA_938023125.1	agree_clean	99.91267	0.08299053	HQ	93.03	0.05	HQ	1943769	6.2886	21	154792	398596	92560.4	48.771	False
GCA_938027445.1	v5hq_only	97.81069	0.06735027	HQ	69.06	1.35	MQ	2617651	6.4179	226	16104	57265	11582.5	54.041	True
GCA_938038695.1	disagreement_141	85.63953	0.7593602	MQ	98.54	2.03	HQ	2034131	6.3084	139	21303	116727	14634.0	44.265	True
GCA_938045305.1	agree_clean	99.96401	0.325647	HQ	98.01	0.0	HQ	1746719	6.2422	33	136042	324238	52930.9	53.035	False
GCA_938074245.1	agree_clean	99.73796	0.0287503	HQ	94.58	0.4	HQ	3273357	6.515	98	56520	158174	33401.6	49.3	False
GCA_938082465.1	disagreement_141	94.05246	9.034342	MQ	94.86	0.63	HQ	2448320	6.3889	43	103285	190506	56937.7	40.685	True
GCA_938091325.1	neither_hq	74.55446	0.52285194	MQ	85.68	0.03	MQ	2026347	6.3067	147	18115	58397	13784.7	50.846	False
GCA_943326545.2	neither_hq	51.968567	0.007662177	MQ	54.01	0.02	MQ	1665261	6.2215	294	5820	29460	5664.2	42.085	False
GCA_943368815.1	v5hq_only	98.88325	3.4999819	HQ	78.21	0.43	MQ	5312895	6.7253	625	10116	42053	8500.6	38.66	True
GCA_943370705.1	neither_hq	52.215996	0.00808835	MQ	57.97	0.04	MQ	2899702	6.4624	584	4997	17491	4965.2	66.34	False
GCA_943788015.1	neither_hq	53.19249	6.1430426	MQ	76.8	0.14	MQ	1665687	6.2216	21	116398	361070	79318.4	69.735	False
GCA_943841585.1	neither_hq	75.229225	0.089380145	MQ	81.29	0.96	MQ	1931613	6.2859	72	34048	164218	26828.0	51.817	False
GCA_943843945.1	neither_hq	67.88606	0.08850992	MQ	82.1	0.97	MQ	2121371	6.3266	135	22089	90298	15713.9	37.243	False
GCA_944321905.1	agree_clean	96.518005	0.25175214	HQ	92.39	1.77	HQ	2540804	6.405	162	23085	92139	15684.0	48.025	False
GCA_944324785.1	agree_clean	96.68759	0.4754573	HQ	96.51	1.11	HQ	2237681	6.3498	91	33893	151356	24589.9	34.818	False
GCA_944331885.1	neither_hq	65.571396	14.965015	LQ	87.29	2.13	MQ	921076	5.9643	131	8206	32182	7031.1	27.954	False
GCA_944355355.1	disagreement_141	71.42343	28.078032	LQ	93.78	0.93	HQ	1370104	6.1368	80	25084	156137	17126.3	31.513	True
GCA_944392525.1	v5hq_only	99.12837	0.83785653	HQ	72.64	5.37	MQ	1473932	6.1685	109	22487	68657	13522.3	28.003	True
