accession	domain	family	protein_1	protein_2	contig_1	contig_2	same_contig	hmm_span_1	hmm_span_2	hmm_reciprocal_overlap	hmm_coverage_1	hmm_coverage_2	passes_split_gene_control	aa_identity	cohort
GCA_963705225.1	bacteria	PGK	OY970060.1_359	OY970060.1_360	OY970060.1	OY970060.1	True	1-228	243-381	0.0	0.5969	0.3639	False	0.2734	disagreement_141
GCA_963745205.1	bacteria	L27	CAVUWX010000003.1_310	CAVUWX010000005.1_131	CAVUWX010000003.1	CAVUWX010000005.1	False	1-82	12-82	1.0	0.988	0.8554	True	0.8429	agree_clean
GCA_964348975.1	bacteria	L17	CAYGEO010000113.1_4	CAYGEO010000020.1_9	CAYGEO010000113.1	CAYGEO010000020.1	False	2-111	3-111	1.0	0.9821	0.9732	True	0.5505	agree_clean
GCA_964348975.1	bacteria	Ribosomal_S9	CAYGEO010000020.1_11	CAYGEO010000113.1_2	CAYGEO010000020.1	CAYGEO010000113.1	False	1-121	1-121	1.0	1.0	1.0	True	0.575	agree_clean
GCA_964348975.1	bacteria	rplM_bact	CAYGEO010000113.1_3	CAYGEO010000020.1_10	CAYGEO010000113.1	CAYGEO010000020.1	False	15-123	13-123	1.0	0.773	0.7872	True	0.4091	agree_clean
GCA_963849745.1	bacteria	rpoB	CAWKIM010000003.1_88	CAWKIM010000010.1_196	CAWKIM010000003.1	CAWKIM010000010.1	False	290-892	290-892	1.0	0.4871	0.4871	True	0.9657	disagreement_141
GCA_964216155.1	bacteria	S6	CAXPED010000019.1_255	CAXPED010000004.1_1	CAXPED010000019.1	CAXPED010000004.1	False	6-94	1-78	0.9359	0.9368	0.8211	True	0.7945	agree_clean
GCA_963822955.1	bacteria	PGK	CAWGJS010000002.1_833	CAWGJS010000001.1_715	CAWGJS010000002.1	CAWGJS010000001.1	False	2-381	1-382	1.0	0.9948	1.0	True	0.5726	agree_clean
GCA_963822955.1	bacteria	ileS	CAWGJS010000001.1_353	CAWGJS010000001.1_832	CAWGJS010000001.1	CAWGJS010000001.1	True	3-851	3-853	1.0	0.9861	0.9884	True	0.4115	agree_clean
GCA_963822955.1	bacteria	leuS_bact	CAWGJS010000001.1_546	CAWGJS010000002.1_1512	CAWGJS010000001.1	CAWGJS010000002.1	False	1-569	143-842	0.7504	0.675	0.8304	True	0.5096	agree_clean
GCA_963822955.1	bacteria	pyrH_bact	CAWGJS010000007.1_665	CAWGJS010000003.1_121	CAWGJS010000007.1	CAWGJS010000003.1	False	5-233	1-232	0.9956	0.9828	0.9957	True	0.4493	agree_clean
GCA_963822955.1	bacteria	smpB	CAWGJS010000007.1_531	CAWGJS010000001.1_1321	CAWGJS010000007.1	CAWGJS010000001.1	False	1-143	2-143	1.0	0.9931	0.9861	True	0.5887	agree_clean
GCA_963822955.1	bacteria	smpB	CAWGJS010000007.1_531	CAWGJS010000004.1_38	CAWGJS010000007.1	CAWGJS010000004.1	False	1-143	2-143	1.0	0.9931	0.9861	True	0.5887	agree_clean
GCA_963822955.1	bacteria	smpB	CAWGJS010000001.1_1321	CAWGJS010000004.1_38	CAWGJS010000001.1	CAWGJS010000004.1	False	2-143	2-143	1.0	0.9861	0.9861	True	1.0	agree_clean
GCA_964370005.1	bacteria	rplT_bact	CAYJGR010000080.1_7	CAYJGR010000011.1_1	CAYJGR010000080.1	CAYJGR010000011.1	False	46-114	1-62	0.2742	0.6053	0.5439	False	1.0	disagreement_141
GCA_964436235.1	bacteria	PGK	CAYTCW010000153.1_8	CAYTCW010000026.1_2	CAYTCW010000153.1	CAYTCW010000026.1	False	1-382	6-380	1.0	1.0	0.9817	True	0.4781	disagreement_141
GCA_964499935.1	bacteria	PGK	CAZCMS010000001.1_335	CAZCMS010000001.1_519	CAZCMS010000001.1	CAZCMS010000001.1	True	1-381	1-381	1.0	0.9974	0.9974	True	0.3952	disagreement_141
GCA_964500765.1	bacteria	S16	CAZCPV010000053.1_11	CAZCPV010000197.1_8	CAZCPV010000053.1	CAZCPV010000197.1	False	1-43	28-77	0.3721	0.5513	0.641	False	1.0	agree_clean
GCA_964628655.1	bacteria	TIGR00006	CAZVOB010000023.1_5	CAZVOB010000072.1_6	CAZVOB010000023.1	CAZVOB010000072.1	False	3-309	5-309	1.0	0.9903	0.9839	True	0.7197	agree_clean
GCA_964628655.1	bacteria	rpsL_bact	CAZVOB010000084.1_2	CAZVOB010000079.1_2	CAZVOB010000084.1	CAZVOB010000079.1	False	1-122	1-87	1.0	0.9839	0.7016	True	0.89	agree_clean
GCA_964564625.1	bacteria	PGK	CAZMBE010000019.1_50	CAZMBE010000027.1_38	CAZMBE010000019.1	CAZMBE010000027.1	False	1-382	3-381	1.0	1.0	0.9921	True	0.404	disagreement_141
GCA_964564625.1	bacteria	PGK	CAZMBE010000019.1_50	CAZMBE010000006.1_81	CAZMBE010000019.1	CAZMBE010000006.1	False	1-382	1-381	1.0	1.0	0.9974	True	0.3333	disagreement_141
GCA_964564625.1	bacteria	PGK	CAZMBE010000027.1_38	CAZMBE010000006.1_81	CAZMBE010000027.1	CAZMBE010000006.1	False	3-381	1-381	1.0	0.9921	0.9974	True	0.3256	disagreement_141
GCA_965201135.1	bacteria	ruvB	OZ241751.1_716	OZ241751.1_2575	OZ241751.1	OZ241751.1	True	1-304	2-303	1.0	0.9967	0.9902	True	0.457	disagreement_141
GCA_964640795.1	bacteria	infC	CAZXIN010000046.1_41	CAZXIN010000061.1_20	CAZXIN010000046.1	CAZXIN010000061.1	False	32-97	101-170	0.0	0.3882	0.4118	False	0.0909	agree_clean
GCA_965328565.1	bacteria	PGK	CBDPAQ010000056.1_8	CBDPAQ010000083.1_1	CBDPAQ010000056.1	CBDPAQ010000083.1	False	76-308	1-105	0.2857	0.6099	0.2749	False	0.3238	agree_clean
GCA_965328565.1	bacteria	PGK	CBDPAQ010000056.1_8	CBDPAQ010000056.1_7	CBDPAQ010000056.1	CBDPAQ010000056.1	True	76-308	313-382	0.0	0.6099	0.1832	False	0.3099	agree_clean
GCA_965328565.1	bacteria	PGK	CBDPAQ010000083.1_1	CBDPAQ010000056.1_7	CBDPAQ010000083.1	CBDPAQ010000056.1	False	1-105	313-382	0.0	0.2749	0.1832	False	0.2394	agree_clean
GCA_976998035.1	bacteria	PGK	CDRLRH010000176.1_1	CDRLRH010000139.1_7	CDRLRH010000176.1	CDRLRH010000139.1	False	146-382	5-156	0.0724	0.6204	0.3979	False	0.268	agree_clean
GCA_966168655.1	bacteria	L6_bact	CBIDWS010000061.1_36	CBIDWS010000044.1_17	CBIDWS010000061.1	CBIDWS010000044.1	False	1-175	1-175	1.0	1.0	1.0	True	0.8114	agree_clean
GCA_966168655.1	bacteria	Ribosomal_L5	CBIDWS010000044.1_20	CBIDWS010000061.1_33	CBIDWS010000044.1	CBIDWS010000061.1	False	1-57	1-57	1.0	1.0	1.0	True	0.7544	agree_clean
GCA_966168655.1	bacteria	Ribosomal_S8	CBIDWS010000061.1_35	CBIDWS010000044.1_18	CBIDWS010000061.1	CBIDWS010000044.1	False	1-126	1-126	1.0	1.0	1.0	True	0.8372	agree_clean
GCA_966168655.1	bacteria	TIGR00006	CBIDWS010000022.1_24	CBIDWS010000033.1_6	CBIDWS010000022.1	CBIDWS010000033.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3646	agree_clean
GCA_966168655.1	bacteria	rplX_bact	CBIDWS010000061.1_32	CBIDWS010000044.1_21	CBIDWS010000061.1	CBIDWS010000044.1	False	2-104	23-104	1.0	0.9904	0.7885	True	0.7051	agree_clean
GCA_977974145.1	bacteria	TIGR00006	CDWXFN010000006.1_47	CDWXFN010000001.1_4	CDWXFN010000006.1	CDWXFN010000001.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3586	agree_clean
GCA_977925875.1	bacteria	TIGR00006	OZ375594.1_4220	OZ375594.1_3502	OZ375594.1	OZ375594.1	True	12-309	6-308	0.9966	0.9613	0.9774	True	0.3728	agree_clean
GCA_977925875.1	bacteria	secG	OZ375594.1_3968	OZ375594.1_2222	OZ375594.1	OZ375594.1	True	2-72	3-72	1.0	0.9726	0.9589	True	0.7714	agree_clean
GCA_977925875.1	bacteria	secG	OZ375594.1_3968	OZ375594.1_1610	OZ375594.1	OZ375594.1	True	2-72	4-72	1.0	0.9726	0.9452	True	0.7826	agree_clean
GCA_977925875.1	bacteria	secG	OZ375594.1_2222	OZ375594.1_1610	OZ375594.1	OZ375594.1	True	3-72	4-72	1.0	0.9589	0.9452	True	1.0	agree_clean
GCA_980315005.1	bacteria	TIGR00043	CEKDRG010000390.1_2	CEKDRG010000261.1_1	CEKDRG010000390.1	CEKDRG010000261.1	False	15-145	17-144	1.0	0.8973	0.8767	True	0.4159	disagreement_141
GCA_982264465.1	bacteria	rpmH_bact	CEVFDK010000257.1_2	CEVFDK010000001.1_28	CEVFDK010000257.1	CEVFDK010000001.1	False	1-44	1-43	1.0	1.0	0.9773	True	0.6744	agree_clean
