accession	domain	n_proteins	n_scg_detected	n_scg_hits	n_scg_profiles	error
GCA_944320865.1	Bacteria	2401	76	76	85	
GCA_949440095.1	Bacteria	2442	45	45	85	
GCA_034122425.1	Bacteria	4589	44	47	85	
GCA_034139765.1	Bacteria	4256	49	49	85	
GCA_958427615.1	Bacteria	2849	44	44	85	
GCA_947073875.1	Bacteria	3005	49	50	85	
GCA_958346545.1	Bacteria	2512	84	84	85	
GCA_900315865.1	Bacteria	1951	82	82	85	
GCA_948552215.1	Bacteria	5178	85	85	85	
GCA_947053445.1	Bacteria	2936	80	80	85	
GCA_037312855.1	Bacteria	2398	82	83	85	
GCA_036828725.1	Bacteria	2478	83	83	85	
GCA_945830965.1	Bacteria	1761	46	46	85	
GCA_948757525.1	Bacteria	1910	56	56	85	
GCA_902782055.1	Bacteria	1873	69	69	85	
GCA_002353715.1	Bacteria	1957	37	38	85	
GCA_900753085.1	Bacteria	2319	58	61	85	
GCA_949080315.1	Bacteria	1617	61	61	85	
GCA_963657825.1	Bacteria	1994	81	81	85	
GCA_905197975.1	Bacteria	2765	85	85	85	
GCA_963604975.1	Bacteria	2092	81	81	85	
GCA_937877605.1	Bacteria	1929	77	77	85	
GCA_963595165.1	Bacteria	2336	83	85	85	
GCA_902484795.1	Bacteria	2137	60	60	85	
GCA_022743765.1	Bacteria	2748	67	69	85	
GCA_938034835.1	Bacteria	2087	65	70	85	
GCA_034178535.1	Bacteria	2048	50	50	85	
GCA_021615735.1	Bacteria	2596	81	81	85	
GCA_019410125.1	Bacteria	2770	85	85	85	
GCA_947388975.1	Bacteria	2322	66	66	85	
GCA_949005005.1	Bacteria	1754	63	63	85	
GCA_963532625.1	Bacteria	2540	82	82	85	
GCA_963587555.1	Bacteria	2237	73	73	85	
GCA_902802665.1	Bacteria	4121	66	69	85	
GCA_945493305.1	Bacteria	1475	29	29	85	
GCA_905204865.1	Bacteria	2250	66	66	85	
GCA_902772525.1	Bacteria	2513	50	50	85	
GCA_019422125.1	Bacteria	2952	85	85	85	
GCA_902780955.1	Bacteria	2461	77	77	85	
GCA_948834585.1	Bacteria	1958	76	76	85	
GCA_037321735.1	Bacteria	2209	48	49	85	
GCA_946403705.1	Bacteria	2554	63	65	85	
GCA_029219745.1	Bacteria	2253	58	61	85	
GCA_902790735.1	Bacteria	2370	53	53	85	
GCA_963552905.1	Bacteria	2054	65	66	85	
GCA_948703335.1	Bacteria	2349	83	83	85	
GCA_947304675.1	Bacteria	2059	39	39	85	
GCA_029055405.1	Bacteria	2330	75	76	85	
GCA_022717195.1	Bacteria	2343	34	35	85	
GCA_014869165.1	Bacteria	1942	74	76	85	
GCA_900551435.1	Bacteria	2209	47	49	85	
GCA_949299235.1	Bacteria	2372	85	85	85	
GCA_958414875.1	Bacteria	2121	46	46	85	
GCA_959606575.1	Bacteria	1666	42	42	85	
GCA_958365925.1	Bacteria	2733	85	85	85	
GCA_021619025.1	Bacteria	2526	74	75	85	
GCA_008672495.1	Bacteria	2470	85	85	85	
GCA_041405765.1	Bacteria	1876	44	44	85	
GCA_934503175.1	Bacteria	1907	53	53	85	
GCA_934842515.1	Bacteria	2056	50	51	85	
GCA_963643705.1	Bacteria	2628	43	43	85	
GCA_037365685.1	Bacteria	2161	40	40	85	
GCA_900771545.1	Bacteria	2056	84	84	85	
GCA_905206045.1	Bacteria	1856	33	33	85	
GCA_037280175.1	Bacteria	1884	35	35	85	
GCA_902494315.1	Bacteria	2304	44	44	85	
GCA_003476185.1	Bacteria	1942	43	43	85	
GCA_037436705.1	Bacteria	2106	59	61	85	
GCA_030843165.1	Bacteria	2475	85	85	85	
GCA_963652605.1	Bacteria	1978	56	56	85	
GCA_959605555.1	Bacteria	2258	51	51	85	
GCA_958438675.1	Bacteria	1850	61	61	85	
GCA_014868985.1	Bacteria	2535	85	85	85	
GCA_036305965.1	Bacteria	2558	49	53	85	
GCA_037436115.1	Bacteria	1933	47	47	85	
GCA_902477905.1	Bacteria	2527	80	80	85	
GCA_963596855.1	Bacteria	2077	40	40	85	
GCA_944386825.1	Bacteria	2175	85	85	85	
GCA_905200815.1	Bacteria	3228	85	85	85	
GCA_934533045.1	Bacteria	2190	57	57	85	
GCA_034104125.1	Bacteria	2053	54	55	85	
GCA_959018785.1	Bacteria	2258	85	85	85	
GCA_934838755.1	Bacteria	2137	79	79	85	
GCA_034088125.1	Bacteria	2143	50	51	85	
GCA_949283615.1	Bacteria	2657	81	86	85	
GCA_029257775.1	Bacteria	2097	85	86	85	
GCA_944384185.1	Bacteria	2388	77	77	85	
GCA_947002035.1	Bacteria	1868	44	44	85	
GCA_949298965.1	Bacteria	2256	83	83	85	
GCA_904384185.1	Bacteria	2866	48	48	85	
GCA_026169435.1	Bacteria	2500	50	55	85	
GCA_959024535.1	Bacteria	1918	61	66	85	
GCA_041331095.1	Bacteria	2262	85	85	85	
GCA_022777285.1	Bacteria	2593	83	84	85	
GCA_958449575.1	Bacteria	2557	73	74	85	
GCA_944381565.1	Bacteria	2764	40	40	85	
GCA_944383815.1	Bacteria	2982	83	83	85	
GCA_031294035.1	Bacteria	4639	77	79	85	
GCA_041329615.1	Bacteria	3179	83	89	85	
GCA_904391385.1	Bacteria	2351	45	45	85	
GCA_959600315.1	Bacteria	2523	85	86	85	
GCA_947002375.1	Bacteria	1978	40	40	85	
GCA_017850445.1	Bacteria	3064	84	85	85	
GCA_019120515.1	Bacteria	3087	51	53	85	
GCA_910576745.1	Bacteria	4834	79	80	85	
GCA_947368435.1	Bacteria	4613	80	81	85	
GCA_946490375.1	Bacteria	2772	47	47	85	
GCA_021771375.1	Bacteria	5468	85	86	85	
GCA_949290165.1	Bacteria	3445	63	65	85	
GCA_937926225.1	Bacteria	2747	85	86	85	
GCA_946495505.1	Bacteria	3279	62	62	85	
GCA_036550335.1	Bacteria	3355	82	82	85	
GCA_949470475.1	Bacteria	3730	66	67	85	
GCA_947361515.1	Bacteria	3877	64	64	85	
GCA_902471035.1	Bacteria	2468	81	83	85	
GCA_036306105.1	Bacteria	3042	73	74	85	
GCA_944377355.1	Bacteria	3307	83	83	85	
GCA_959028295.1	Bacteria	2633	84	85	85	
GCA_947650605.1	Bacteria	4771	81	82	85	
GCA_946500735.1	Bacteria	2240	37	37	85	
GCA_947518415.1	Bacteria	2922	65	67	85	
GCA_946579395.1	Bacteria	3462	74	74	85	
GCA_946498755.1	Bacteria	3464	85	85	85	
GCA_020697555.1	Bacteria	5346	85	86	85	
GCA_041328975.1	Bacteria	3171	83	87	85	
GCA_958433295.1	Bacteria	2916	82	83	85	
GCA_020697535.1	Bacteria	4769	85	86	85	
GCA_026169175.1	Bacteria	2783	74	76	85	
GCA_027494835.1	Bacteria	2455	66	66	85	
GCA_032575115.1	Bacteria	4816	37	38	85	
GCA_009775775.1	Bacteria	4369	85	85	85	
GCA_022741175.1	Bacteria	3993	63	65	85	
GCA_016742335.1	Bacteria	4329	85	85	85	
GCA_016584555.1	Bacteria	4626	85	86	85	
GCA_017741655.1	Bacteria	4706	82	84	85	
GCA_022735315.1	Bacteria	4636	85	85	85	
GCA_949463165.1	Bacteria	4292	85	87	85	
GCA_017741665.1	Bacteria	4710	85	86	85	
GCA_022722705.1	Bacteria	4486	85	85	85	
GCA_032478035.1	Bacteria	4838	85	85	85	
GCA_019013045.1	Bacteria	4520	85	85	85	
GCA_003542035.1	Bacteria	3699	80	80	85	
GCA_034168965.1	Bacteria	4263	82	83	85	
GCA_022718295.1	Bacteria	4889	85	85	85	
GCA_949108755.1	Bacteria	4530	84	85	85	
GCA_034115285.1	Bacteria	4477	56	56	85	
GCA_032476855.1	Bacteria	4733	85	85	85	
GCA_946011735.1	Bacteria	4297	85	85	85	
GCA_032485855.1	Bacteria	4374	85	85	85	
GCA_003522485.1	Bacteria	4152	85	85	85	
GCA_946495495.1	Bacteria	4582	85	85	85	
GCA_947368645.1	Bacteria	4301	83	83	85	
GCA_009776135.1	Bacteria	4607	85	85	85	
GCA_003450115.1	Bacteria	4173	85	85	85	
GCA_948475835.1	Bacteria	4626	85	85	85	
GCA_022716275.1	Bacteria	3977	57	58	85	
GCA_963510405.1	Bacteria	4549	85	85	85	
GCA_949107335.1	Bacteria	4790	84	85	85	
GCA_031979405.1	Bacteria	4647	85	85	85	
GCA_032477115.1	Bacteria	4214	52	53	85	
GCA_003484765.1	Bacteria	4172	85	85	85	
GCA_958441175.1	Bacteria	4435	85	85	85	
GCA_023388105.1	Bacteria	3942	85	88	85	
GCA_949488685.1	Bacteria	4156	84	84	85	
GCA_948496615.1	Bacteria	1756	30	31	85	
GCA_949469275.1	Bacteria	4513	85	85	85	
GCA_036792475.1	Bacteria	4516	85	85	85	
GCA_963510305.1	Bacteria	4537	85	85	85	
GCA_949454215.1	Bacteria	1794	70	70	85	
GCA_950096495.1	Bacteria	1935	85	85	85	
GCA_017461165.1	Bacteria	1637	38	38	85	
GCA_949006425.1	Bacteria	1766	83	83	85	
GCA_948629605.1	Bacteria	1553	78	78	85	
GCA_948573865.1	Bacteria	1850	85	85	85	
GCA_948848885.1	Bacteria	4660	85	85	85	
GCA_948906165.1	Bacteria	1771	85	85	85	
GCA_949011665.1	Bacteria	1713	84	84	85	
GCA_949079935.1	Bacteria	1589	52	55	85	
GCA_023708185.1	Bacteria	1928	84	84	85	
GCA_948854235.1	Bacteria	1887	85	86	85	
GCA_949537655.1	Bacteria	1690	40	40	85	
GCA_948694385.1	Bacteria	1551	78	78	85	
GCA_948749415.1	Bacteria	1933	85	85	85	
GCA_946062165.1	Bacteria	1318	36	37	85	
GCA_948640155.1	Bacteria	1628	85	85	85	
GCA_949421585.1	Bacteria	1761	74	74	85	
GCA_948485505.1	Bacteria	1824	85	85	85	
GCA_947002555.1	Bacteria	2831	85	85	85	
GCA_948661965.1	Bacteria	1883	85	85	85	
GCA_017472425.1	Bacteria	1652	52	53	85	
GCA_949075215.1	Bacteria	2076	85	85	85	
GCA_948896665.1	Bacteria	1851	85	85	85	
GCA_948830035.1	Bacteria	1514	66	66	85	
GCA_948971415.1	Bacteria	1590	79	79	85	
GCA_948739525.1	Bacteria	1558	85	85	85	
GCA_948654295.1	Bacteria	1791	85	85	85	
GCA_017503575.1	Bacteria	1548	49	50	85	
GCA_948546195.1	Bacteria	1551	50	51	85	
GCA_948492405.1	Bacteria	1640	85	85	85	
GCA_948969415.1	Bacteria	1679	85	85	85	
GCA_948760375.1	Bacteria	1801	84	84	85	
GCA_948810045.1	Bacteria	1483	47	47	85	
GCA_948596525.1	Bacteria	1653	76	78	85	
GCA_948558115.1	Bacteria	1668	85	86	85	
GCA_949041555.1	Bacteria	1716	59	59	85	
GCA_015066755.1	Bacteria	1631	78	78	85	
GCA_029225345.1	Bacteria	1907	83	83	85	
GCA_948803365.1	Bacteria	1835	85	85	85	
GCA_902793825.1	Bacteria	3179	60	62	85	
GCA_948783565.1	Bacteria	1809	85	85	85	
GCA_948954285.1	Bacteria	1571	57	57	85	
GCA_017437285.1	Bacteria	3878	84	84	85	
GCA_902494725.1	Bacteria	2361	77	78	85	
GCA_948733055.1	Bacteria	3106	83	83	85	
GCA_900752375.1	Bacteria	1824	83	83	85	
GCA_949345265.1	Bacteria	3454	81	83	85	
GCA_947174435.1	Bacteria	2763	84	84	85	
GCA_004556875.1	Bacteria	2289	73	75	85	
GCA_035417285.1	Bacteria	4337	85	85	85	
GCA_034175225.1	Bacteria	3205	82	82	85	
GCA_900315755.1	Bacteria	2324	84	84	85	
GCA_017934425.1	Bacteria	1281	66	66	85	
GCA_947627175.1	Bacteria	2376	82	82	85	
GCA_902788905.1	Bacteria	1752	39	40	85	
GCA_029055625.1	Bacteria	2388	84	85	85	
GCA_030530245.1	Bacteria	2456	75	75	85	
GCA_946183635.1	Bacteria	2211	75	75	85	
GCA_002473365.1	Bacteria	1966	61	61	85	
GCA_958416265.1	Bacteria	1565	56	56	85	
GCA_902789255.1	Bacteria	1929	57	59	85	
GCA_001603985.1	Bacteria	3796	84	85	85	
GCA_947177345.1	Bacteria	2186	77	77	85	
GCA_017995295.1	Bacteria	3385	85	86	85	
GCA_017441505.1	Bacteria	1976	48	49	85	
GCA_017463965.1	Bacteria	2664	83	84	85	
GCA_945870265.1	Bacteria	2426	83	84	85	
GCA_017543335.1	Bacteria	2209	65	72	85	
GCA_902762855.1	Bacteria	2491	58	58	85	
GCA_945873175.1	Bacteria	3389	81	81	85	
GCA_029062165.1	Bacteria	2678	85	85	85	
GCA_029007035.1	Bacteria	1965	78	79	85	
GCA_017463375.1	Bacteria	2187	82	84	85	
GCA_902787915.1	Bacteria	2423	74	74	85	
GCA_015066935.1	Bacteria	1935	84	85	85	
GCA_017940325.1	Bacteria	2136	82	83	85	
GCA_958410605.1	Bacteria	2053	84	84	85	
GCA_959607885.1	Bacteria	2095	84	84	85	
GCA_902777125.1	Bacteria	2347	84	85	85	
GCA_948800255.1	Bacteria	1655	85	85	85	
GCA_949500795.1	Bacteria	1774	85	85	85	
GCA_949014685.1	Bacteria	1677	82	82	85	
GCA_958425585.1	Bacteria	1568	84	84	85	
GCA_963511515.1	Bacteria	1898	85	85	85	
GCA_022747055.1	Bacteria	1376	62	62	85	
GCA_018367525.1	Bacteria	1905	84	84	85	
GCA_022739795.1	Bacteria	1885	77	78	85	
GCA_008671155.1	Bacteria	1530	79	79	85	
GCA_032473395.1	Bacteria	2132	72	72	85	
GCA_963637065.1	Bacteria	2044	84	84	85	
GCA_032594155.1	Bacteria	1954	85	85	85	
GCA_947001735.1	Bacteria	1849	83	83	85	
GCA_958432115.1	Bacteria	1998	85	85	85	
GCA_959027475.1	Bacteria	1759	35	35	85	
GCA_014871875.1	Bacteria	2011	82	82	85	
GCA_948721305.1	Bacteria	1696	85	85	85	
GCA_948616565.1	Bacteria	1689	85	85	85	
GCA_036550035.1	Bacteria	1653	84	84	85	
GCA_018379245.1	Bacteria	1847	84	84	85	
GCA_947038465.1	Bacteria	1337	78	78	85	
GCA_948603535.1	Bacteria	1966	85	85	85	
GCA_022724635.1	Bacteria	2341	79	80	85	
GCA_959019705.1	Bacteria	1680	84	84	85	
GCA_945829875.1	Bacteria	1613	78	78	85	
GCA_032565395.1	Bacteria	2516	85	85	85	
GCA_900552615.1	Bacteria	1738	70	73	85	
GCA_934828765.1	Bacteria	2038	84	84	85	
GCA_948636615.1	Bacteria	1923	84	84	85	
GCA_963611095.1	Bacteria	1815	83	84	85	
GCA_022727075.1	Bacteria	1952	81	81	85	
GCA_948869145.1	Bacteria	1790	85	85	85	
GCA_959024055.1	Bacteria	1889	85	85	85	
GCA_958370845.1	Bacteria	1714	58	58	85	
GCA_958450425.1	Bacteria	1564	70	70	85	
GCA_958427135.1	Bacteria	1770	83	83	85	
GCA_946891115.1	Bacteria	1306	83	83	85	
GCA_947426615.1	Bacteria	1803	78	78	85	
GCA_008672455.1	Bacteria	1945	83	83	85	
GCA_032485475.1	Bacteria	2158	85	87	85	
