accession	cohort	domain	n_proteins	n_profiles_in_set	n_bact_families	n_arch_families	n_families_detected	frac_profiles_detected	n_families_multicopy_raw	n_families_multicopy	n_pairs_rejected_split_gene	frac_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_valid	n_dup_pairs_diff_contig	n_dup_pairs_scored	mean_dup_pair_identity	median_dup_pair_identity	min_dup_pair_identity	n_dup_pairs_divergent	n_dup_pairs_strongly_divergent	n_dup_pairs_near_identical	frac_dup_pairs_divergent	n_divergent_families	n_strongly_divergent_families	divergent_dup_families_per_100_profiles	strongly_divergent_families_per_100_profiles	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct
GCA_949009515.1	agree_clean	bacteria	1884	85	85	31	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.59771	0.97875595	99.28	0.0	2085272	27	139160	43.654
GCA_949019735.1	agree_clean	bacteria	2247	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.87637	0.5767673	97.09	0.37	2705190	62	71657	48.373
GCA_949035815.1	agree_clean	bacteria	4305	85	78	32	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.85986	0.2792418	100.0	0.29	4568712	57	198668	50.787
GCA_949052265.1	agree_clean	bacteria	2821	85	83	32	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.4358	0.4358	0.4358	1	1	0	1.0	1	1	1.176	1.176	99.969406	0.42491853	98.63	0.0	3417791	54	95158	47.548
GCA_949054195.1	agree_clean	bacteria	2054	85	84	29	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.492905	1.6836882	97.76	0.74	2167939	90	37146	31.138
GCA_949061875.1	agree_clean	bacteria	3205	85	82	34	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94799	0.8892119	94.35	0.47	3629602	102	60295	51.649
GCA_949067335.1	agree_clean	bacteria	3153	85	80	32	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.32899	0.285995	90.0	1.46	3334988	346	16660	45.155
GCA_949072995.1	agree_clean	bacteria	2614	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.92877	0.33937693	99.95	0.11	3232866	107	47199	52.725
GCA_949286355.1	agree_clean	bacteria	2051	85	83	38	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9713	0.6419927	100.0	0.06	2460708	30	153575	37.985
GCA_949347405.1	agree_clean	bacteria	2508	85	85	34	85	1.0	6	6	0	0.0706	6	2	6	6	6	6	0.8487	0.8961	0.701	4	2	1	0.6667	4	2	4.706	2.353	99.97702	1.012975	99.19	3.0	2948135	97	51379	50.561
GCA_949383625.1	agree_clean	bacteria	2022	85	83	29	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.595634	1.705423	96.84	0.56	2169610	180	18636	31.173
GCA_949397535.1	agree_clean	bacteria	4036	85	78	34	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96808	1.3137251	93.96	2.33	4354774	157	67813	40.414
GCA_949404875.1	agree_clean	bacteria	1148	85	80	26	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.64809	0.052276254	95.27	0.43	1268183	121	14035	34.912
GCA_949407775.1	agree_clean	bacteria	3496	85	81	34	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.934265	0.69051087	100.0	1.46	3886437	55	126797	48.253
GCA_949454215.1	agree_clean	bacteria	1784	85	70	27	70	0.8235	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.81921	0.07390082	93.32	1.11	2083385	73	41227	60.818
GCA_949477195.1	agree_clean	bacteria	3897	85	60	25	60	0.7059	2	2	0	0.0333	2	2	2	2	2	2	0.2725	0.273	0.272	2	2	0	1.0	2	2	2.353	2.353	99.931595	0.3963381	99.98	2.53	4672367	158	52675	41.942
GCA_949478905.1	agree_clean	bacteria	1625	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.933266	0.044444203	98.73	0.06	1968512	15	229294	58.433
GCA_949481065.1	agree_clean	bacteria	902	85	63	24	63	0.7412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.83231	2.4509192	94.63	0.24	885331	17	87796	45.494
GCA_949497025.1	agree_clean	bacteria	2898	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93774	1.5407324	99.99	0.13	3573311	48	119418	50.29
GCA_949506455.1	agree_clean	bacteria	2200	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96735	0.54656863	99.95	0.41	2569443	20	178723	49.754
GCA_949519435.1	agree_clean	bacteria	2128	85	53	19	53	0.6235	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95253	0.2147466	92.88	1.23	2492065	205	18749	51.039
GCA_949740115.1	agree_clean	bacteria	4163	85	51	21	51	0.6	2	1	1	0.0196	2	2	2	1	1	1	0.4194	0.4194	0.4194	1	1	0	1.0	1	1	1.176	1.176	99.7484	1.5499115	98.71	1.04	5563871	144	90081	40.381
GCA_949740715.1	agree_clean	bacteria	2847	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.92114	0.91154873	99.94	0.05	2838400	101	91490	32.515
GCA_949744905.1	agree_clean	bacteria	1654	85	78	32	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94664	0.07272065	91.44	0.22	1800632	141	20389	49.016
GCA_949878525.1	agree_clean	bacteria	2909	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.978546	0.63319206	99.94	0.25	3478979	82	153328	53.345
GCA_950063355.1	agree_clean	bacteria	2442	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.284874	0.011008978	99.26	0.06	2637060	11	445532	33.533
GCA_950097065.1	agree_clean	bacteria	2729	85	85	35	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3919	0.3919	0.3919	1	1	0	1.0	1	1	1.176	1.176	99.93949	0.37378967	97.35	0.72	2890188	82	94697	56.982
GCA_951813285.1	agree_clean	bacteria	3984	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.694855	2.7538836	100.0	3.12	5108082	1	5108082	61.51
GCA_958404645.1	agree_clean	bacteria	2721	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95656	0.4989922	99.99	1.69	2900616	32	192832	37.811
GCA_958432785.1	agree_clean	bacteria	2124	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97739	1.0765105	96.89	0.12	2203270	43	78452	58.475
GCA_958436535.1	agree_clean	bacteria	1888	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97981	0.34686625	97.43	0.37	2023605	37	89391	61.497
GCA_958439535.1	agree_clean	bacteria	2605	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9198	0.26168525	100.0	0.45	2998142	74	72605	35.638
GCA_958454545.1	agree_clean	bacteria	1961	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.82806	0.06257892	94.69	0.6	2104537	60	46656	38.953
GCA_958454785.1	agree_clean	bacteria	2938	85	77	29	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96156	0.9081423	91.45	0.95	3776827	206	28255	37.385
GCA_963521595.1	agree_clean	bacteria	2598	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97739	0.74947774	99.91	0.12	2653874	100	92482	29.439
GCA_963589175.1	agree_clean	bacteria	2192	85	50	19	50	0.5882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.920395	0.05427301	93.72	0.38	2737963	142	32278	53.423
GCA_963599035.1	agree_clean	bacteria	2661	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3706	0.3706	0.3706	1	1	0	1.0	1	1	1.176	1.176	99.97638	0.6389022	99.98	0.29	2907170	96	42942	46.31
GCA_963610445.1	agree_clean	bacteria	2130	85	84	31	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.4078	0.4078	0.4078	1	1	0	1.0	1	1	1.176	1.176	99.32314	0.009095669	98.96	2.19	2109822	111	28128	32.745
GCA_963662635.2	agree_clean	bacteria	3514	85	78	31	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.968605	0.7104516	93.18	4.59	3732115	6	2687031	49.402
GCA_963668125.1	agree_clean	bacteria	3397	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.941925	0.22039711	99.74	0.07	4372437	1	4372437	36.712
GCA_963677365.1	agree_clean	bacteria	3849	85	85	39	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.86163	0.6477773	99.98	1.63	4788252	1	4788252	35.811
GCA_963706305.1	agree_clean	bacteria	2926	85	83	32	83	0.9765	1	1	0	0.012	1	2	1	1	0	1	0.5242	0.5242	0.5242	1	1	0	1.0	1	1	1.176	1.176	98.138565	1.7421067	95.05	2.45	2967470	1	2967470	62.338
GCA_963741015.1	agree_clean	bacteria	3057	85	82	34	82	0.9647	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.10366	0.7615775	96.94	4.36	3105667	12	368149	50.299
GCA_963745205.1	agree_clean	bacteria	4308	85	80	29	80	0.9412	1	1	0	0.0125	1	2	1	1	1	1	0.8429	0.8429	0.8429	1	0	0	1.0	1	0	1.176	0.0	98.8699	2.3130746	93.53	4.32	4018893	32	172413	63.961
GCA_963772135.1	agree_clean	bacteria	4722	85	79	30	79	0.9294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.74392	0.1545757	92.22	1.0	4656594	10	882793	71.303
GCA_963822955.1	agree_clean	bacteria	6604	85	81	38	81	0.9529	5	5	0	0.0617	6	3	7	7	6	7	0.5886	0.5726	0.4115	6	6	1	0.8571	5	5	5.882	5.882	97.78583	0.42277575	97.74	3.24	6471002	8	1325117	68.382
GCA_964216155.1	agree_clean	bacteria	3225	85	71	29	71	0.8353	1	1	0	0.0141	1	2	1	1	1	1	0.7945	0.7945	0.7945	1	1	0	1.0	1	1	1.176	1.176	99.792885	0.2570659	95.52	0.11	3719954	53	95347	39.99
GCA_964348975.1	agree_clean	bacteria	1008	85	56	22	56	0.6588	3	3	0	0.0536	3	2	3	3	3	3	0.5115	0.5505	0.4091	3	3	0	1.0	3	3	3.529	3.529	90.96856	1.7790318	94.93	4.65	826827	128	10953	50.433
GCA_964352035.1	agree_clean	bacteria	3300	85	81	30	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94496	1.3257504	97.07	0.29	3333612	130	42780	53.518
GCA_964371365.1	agree_clean	bacteria	1873	85	79	32	79	0.9294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.15051	0.039732456	91.85	0.46	2010461	133	22885	47.806
GCA_964429895.1	agree_clean	bacteria	3321	85	78	36	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.839386	1.4806002	96.61	1.66	3589321	168	30795	62.237
GCA_964474105.1	agree_clean	bacteria	3243	85	81	31	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.89883	3.79889	92.94	0.48	3625384	307	18767	57.528
GCA_964500765.1	agree_clean	bacteria	2659	85	81	33	81	0.9529	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.92183	0.013267994	95.09	1.18	2978827	370	10852	34.017
GCA_964531735.1	agree_clean	bacteria	5597	85	81	35	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.75916	0.027409196	93.09	2.1	7459769	256	39766	70.162
GCA_964628655.1	agree_clean	bacteria	1207	85	65	25	65	0.7647	2	2	0	0.0308	2	2	2	2	2	2	0.8049	0.89	0.7197	2	1	0	1.0	2	1	2.353	1.176	99.827034	2.9286532	95.8	1.08	1073075	103	14470	52.526
GCA_964640795.1	agree_clean	bacteria	4784	85	63	24	63	0.7412	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.90728	0.08164644	95.05	1.56	5335300	87	95222	41.556
GCA_964644085.1	agree_clean	bacteria	3007	85	80	35	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.84392	2.1793485	94.33	1.93	3042436	303	14861	45.147
GCA_965279685.1	agree_clean	bacteria	6905	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.81786	0.8980453	99.82	2.98	7228148	3	4099973	62.847
GCA_965328565.1	agree_clean	bacteria	1856	85	81	28	81	0.9529	1	0	3	0.0	2	3	3	0	0	0				0	0	0		0	0	0.0	0.0	90.943726	0.015115738	94.6	0.22	1750591	177	13265	37.456
GCA_965579405.1	agree_clean	bacteria	4840	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.941986	0.97286403	99.92	2.07	5097185	3	1790809	53.499
GCA_966168655.1	agree_clean	bacteria	2632	85	77	34	77	0.9059	5	5	0	0.0649	5	2	5	5	5	5	0.6945	0.7544	0.3646	5	3	0	1.0	5	3	5.882	3.529	98.46392	0.102591515	90.16	0.87	2845020	91	46288	51.066
GCA_976998035.1	agree_clean	bacteria	2414	85	77	31	77	0.9059	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	92.99453	0.2804488	97.39	1.38	2856413	478	8177	71.978
GCA_977000925.1	agree_clean	bacteria	1688	85	83	32	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94469	3.0343504	99.83	0.17	1814709	39	179325	49.308
GCA_977045845.1	agree_clean	bacteria	4253	85	84	36	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91164	0.38119853	99.98	2.99	5035486	34	187112	43.133
GCA_977054245.1	agree_clean	bacteria	1252	85	82	29	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.84681	0.014382601	95.79	0.09	1527591	66	35854	47.908
GCA_977056595.1	agree_clean	bacteria	2437	85	83	34	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.97346	0.5888313	98.11	1.22	2732764	165	25148	49.421
GCA_977074955.1	agree_clean	bacteria	1536	85	82	32	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.934555	1.2764782	99.52	0.62	1667982	31	104583	35.863
GCA_977075605.1	agree_clean	bacteria	2696	85	83	36	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95297	0.45925677	99.51	0.09	2684699	72	61409	45.147
GCA_977576075.1	agree_clean	bacteria	2899	85	55	23	55	0.6471	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94473	0.0021189451	91.72	0.26	3470188	128	42096	42.446
GCA_977581115.1	agree_clean	bacteria	1536	85	82	32	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.65866	0.036117435	90.81	0.01	1621551	37	82783	39.979
GCA_977589185.1	agree_clean	bacteria	1833	85	54	21	54	0.6353	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.43086	3.7263603	93.52	0.43	1942409	50	70786	50.85
GCA_977613245.1	agree_clean	bacteria	884	85	60	23	60	0.7059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95448	2.725181	97.67	0.44	827384	43	28189	42.283
GCA_977879495.1	agree_clean	bacteria	4798	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.351364	0.8120805	99.98	0.66	5677623	1	5677623	59.927
GCA_977885655.1	agree_clean	bacteria	1897	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.63575	0.049695373	99.34	0.15	2074495	93	33416	45.077
GCA_977892145.1	agree_clean	bacteria	3467	85	81	30	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.91966	1.2581617	95.78	3.64	3985377	335	18167	60.162
GCA_977892965.1	agree_clean	bacteria	2335	85	77	31	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.73976	0.4432112	98.23	1.08	2604347	95	44794	58.389
GCA_977893235.1	agree_clean	bacteria	1792	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.969955	2.7103992	99.83	0.05	2324297	132	39390	52.171
GCA_977925875.1	agree_clean	bacteria	4552	85	84	34	84	0.9882	2	2	0	0.0238	3	3	4	4	0	4	0.7317	0.7826	0.3728	3	3	1	0.75	2	2	2.353	2.353	99.80542	1.9067407	97.58	2.28	4250982	3	4152866	63.233
GCA_977974145.1	agree_clean	bacteria	2419	85	85	34	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3586	0.3586	0.3586	1	1	0	1.0	1	1	1.176	1.176	96.89125	0.039073825	99.9	0.24	2833643	57	103421	32.17
GCA_980299275.1	agree_clean	bacteria	3301	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.87012	0.88700354	99.96	0.96	3582336	20	249535	66.135
GCA_981630225.1	agree_clean	bacteria	2187	85	84	29	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.90678	3.6467493	98.43	2.13	2317345	47	69997	56.453
GCA_982262265.1	agree_clean	bacteria	2228	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94176	0.2104044	97.26	1.14	2435772	71	67677	57.189
GCA_982264465.1	agree_clean	bacteria	1905	85	78	29	78	0.9176	1	1	0	0.0128	1	2	1	1	1	1	0.6744	0.6744	0.6744	1	1	0	1.0	1	1	1.176	1.176	97.42847	3.6516757	91.15	3.4	1818873	352	6764	49.554
GCA_001782735.1	disagreement_141	bacteria	932	85	62	27	62	0.7294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	81.07164	5.3582726	96.77	0.54	848748	23	67654	39.978
GCA_002070265.1	disagreement_141	bacteria	2357	85	85	33	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.6818	0.6818	0.6818	1	1	0	1.0	1	1	1.176	1.176	68.92568	22.423273	95.31	0.71	2946271	93	109678	38.898
GCA_002440965.1	disagreement_141	bacteria	1518	85	75	33	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	76.042114	1.857701	94.05	0.31	1594747	39	59407	41.877
GCA_002730975.1	disagreement_141	bacteria	3076	85	76	30	76	0.8941	1	1	0	0.0132	1	2	1	1	1	1	0.4717	0.4717	0.4717	1	1	0	1.0	1	1	1.176	1.176	66.96346	10.941413	93.28	3.82	3847701	152	35440	50.37
GCA_002792165.1	disagreement_141	bacteria	539	85	61	19	61	0.7176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	57.782135	11.139044	93.39	0.0	486256	41	16797	40.412
GCA_003511635.1	disagreement_141	bacteria	1092	85	78	29	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	65.75756	38.245586	94.91	0.5	1088274	21	72242	35.914
GCA_009784235.1	disagreement_141	bacteria	863	85	79	26	79	0.9294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	74.838554	1.1353403	98.49	0.0	874588	3	312735	45.822
GCA_012963765.1	disagreement_141	bacteria	2315	85	81	31	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	77.580444	7.639396	91.15	1.24	2465736	309	12783	42.606
GCA_015067545.1	disagreement_141	bacteria	1662	85	82	30	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	80.86024	7.0765467	97.69	0.04	1801424	18	137094	52.159
GCA_015068615.1	disagreement_141	bacteria	1265	85	53	18	53	0.6235	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	64.47526	2.166897	90.74	1.17	1324291	74	24755	48.057
GCA_015487885.1	disagreement_141	bacteria	3855	85	83	36	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	89.26524	64.5203	96.66	2.28	4891862	299	25711	54.323
GCA_016278515.1	disagreement_141	bacteria	4374	85	85	30	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3853	0.3853	0.3853	1	1	0	1.0	1	1	1.176	1.176	99.1635	8.066452	100.0	1.6	4270740	167	46988	40.874
GCA_016295605.1	disagreement_141	bacteria	1437	85	76	31	76	0.8941	2	2	0	0.0263	2	2	2	2	2	2	0.8185	0.876	0.7609	2	1	0	1.0	2	1	2.353	1.176	75.380974	0.008767843	93.13	1.53	1674252	266	8156	64.893
GCA_016787285.1	disagreement_141	bacteria	4314	85	78	31	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.80432	7.4893355	96.77	1.11	5556013	345	24969	55.688
GCA_017939065.1	disagreement_141	bacteria	1474	85	77	29	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	89.018974	14.0129175	95.04	3.18	1444896	50	59691	26.613
GCA_018057765.1	disagreement_141	bacteria	1745	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	73.647125	48.25221	97.73	0.03	1759823	51	65094	35.81
GCA_018677455.1	disagreement_141	bacteria	2974	85	82	33	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	79.18665	1.9505739	100.0	0.98	3208883	168	34782	61.645
GCA_019235985.1	disagreement_141	bacteria	2538	85	76	29	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	93.24382	5.475268	94.11	2.13	2336253	389	7735	61.976
GCA_021810405.1	disagreement_141	bacteria	1828	85	81	31	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.36741	22.343327	92.47	0.11	2103954	62	50265	45.63
GCA_022783155.1	disagreement_141	bacteria	2352	85	81	33	81	0.9529	3	3	0	0.037	3	2	3	3	3	3	0.569	0.4512	0.3741	3	2	0	1.0	3	2	3.529	2.353	87.640724	0.06647408	96.78	1.88	2501410	168	22074	47.178
GCA_022827685.1	disagreement_141	bacteria	4227	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.820816	5.138433	98.84	2.77	4307412	167	42335	68.611
GCA_023139045.1	disagreement_141	bacteria	3759	85	77	37	77	0.9059	1	1	0	0.013	1	2	1	1	1	1	0.368	0.368	0.368	1	1	0	1.0	1	1	1.176	1.176	81.678955	6.5615745	94.38	1.03	3695767	205	39366	46.932
GCA_023409405.1	disagreement_141	bacteria	1520	85	84	31	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.861916	6.478524	96.14	0.2	1695966	9	375312	28.388
GCA_024228115.1	disagreement_141	bacteria	6314	85	82	32	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	96.737625	26.185966	97.44	0.96	6414368	700	22846	64.086
GCA_024763275.1	disagreement_141	bacteria	2393	85	77	33	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	81.40536	0.34325123	91.13	0.29	2554815	98	40789	54.106
GCA_027442175.1	disagreement_141	bacteria	2279	85	84	31	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96314	5.958909	99.55	1.23	2314502	61	108777	53.222
GCA_028724105.1	disagreement_141	bacteria	2234	85	83	34	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.3414	0.3414	0.3414	1	1	0	1.0	1	1	1.176	1.176	88.850006	0.016728044	98.24	0.59	2416929	86	48291	41.844
GCA_029007115.1	disagreement_141	bacteria	1206	85	80	26	80	0.9412	1	1	0	0.0125	1	2	1	1	1	1	0.7703	0.7703	0.7703	1	1	0	1.0	1	1	1.176	1.176	75.70194	0.29004216	93.11	4.46	1243304	54	40649	24.74
GCA_029559035.1	disagreement_141	bacteria	2437	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.4721	9.046748	95.64	0.37	2863561	100	78009	55.931
GCA_031263035.1	disagreement_141	bacteria	2075	85	80	32	80	0.9412	7	7	0	0.0875	7	2	7	7	7	7	0.4879	0.4286	0.3503	7	7	0	1.0	7	7	8.235	8.235	62.08219	26.310593	93.8	2.73	2392468	156	28309	31.157
GCA_031969975.1	disagreement_141	bacteria	7493	85	82	34	82	0.9647	2	2	0	0.0244	3	3	4	4	4	4	0.5844	0.7178	0.3985	4	4	0	1.0	2	2	2.353	2.353	88.15625	29.18064	99.37	2.37	9145261	1116	13144	46.354
GCA_035386105.1	disagreement_141	bacteria	1838	85	81	34	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	77.825836	0.0044882298	94.02	0.88	1886924	106	30030	34.871
GCA_035435645.1	disagreement_141	bacteria	1701	85	53	22	53	0.6235	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	71.285835	0.38408637	90.7	1.11	1663062	208	9925	39.416
GCA_035436425.1	disagreement_141	bacteria	1853	85	78	27	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	93.48346	9.269306	95.16	0.05	2254552	40	95107	46.387
GCA_035453605.1	disagreement_141	bacteria	3049	85	82	36	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	80.10804	6.6231728	95.64	0.24	3932547	24	319965	67.022
GCA_035601835.1	disagreement_141	bacteria	2535	85	82	33	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	80.189095	14.553431	98.23	0.11	2565881	18	228804	63.509
GCA_036387965.1	disagreement_141	bacteria	4292	85	78	33	78	0.9176	2	2	0	0.0256	2	2	2	2	2	2	0.6973	0.9722	0.4225	1	1	1	0.5	1	1	1.176	1.176	81.47278	0.43416917	92.98	3.39	4156919	685	8753	38.033
