accession	organism	species_taxid	level	contigs	genome_size	ftp	excluded	label	matched_to
GCA_051338665.1	Escherichia coli	562	Contig	1984	5563225	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/338/665/GCA_051338665.1_ASM5133866v1/	na	unflagged_control	GCA_026009695.1
GCA_948718825.1	Akkermansia muciniphila	239935	Scaffold	1207	1845565	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/718/825/GCA_948718825.1_MGBC130814/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_900184885.1	Akkermansia muciniphila	239935	Scaffold	218	2859163	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/885/GCA_900184885.1_MOUSE_M89_JASPER.fasta/	na	unflagged_control	GCA_948718825.1
GCA_053540325.1	Escherichia coli	562	Scaffold	204	5241136	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/540/325/GCA_053540325.1_ASM5354032v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000512625.1	Escherichia coli E1777	562	Scaffold	204	5117746	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/625/GCA_000512625.1_E1777_2/	na	unflagged_control	GCA_053540325.1
GCA_031922165.1	Acinetobacter baumannii	470	Contig	1536	4471599	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/922/165/GCA_031922165.1_ASM3192216v1/	contaminated	flagged_contaminated	
GCA_001432825.1	Acinetobacter baumannii	470	Contig	1544	4383482	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/432/825/GCA_001432825.1_ASM143282v1/	na	unflagged_control	GCA_031922165.1
GCA_030183935.1	Serratia nevei	2703794	Contig	281	5754239	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/183/935/GCA_030183935.1_ASM3018393v1/	contaminated	flagged_contaminated	
GCA_030182995.1	Serratia nevei	2703794	Contig	290	5766321	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/182/995/GCA_030182995.1_ASM3018299v1/	na	unflagged_control	GCA_030183935.1
GCA_046491495.1	Legionella pneumophila serogroup 1	446	Contig	42	3608687	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/491/495/GCA_046491495.1_ASM4649149v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000586255.1	Legionella pneumophila subsp. pascullei	446	Scaffold	42	3463578	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/586/255/GCA_000586255.1_ATCC_33737/	na	unflagged_control	GCA_046491495.1
GCA_009361775.1	Klebsiella quasipneumoniae	1463165	Scaffold	131	6000881	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/361/775/GCA_009361775.1_ASM936177v1/	contaminated	flagged_contaminated	
GCA_002853675.1	Klebsiella quasipneumoniae	1463165	Contig	131	5773210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/853/675/GCA_002853675.1_ASM285367v1/	na	unflagged_control	GCA_009361775.1
GCA_937967885.1	Hoylesella buccalis	28127	Contig	323	2711450	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/967/885/GCA_937967885.1_ERR1332588_bin.36_CONCOCT_v1.1_MAG/	contaminated; derived from metagenome	flagged_contaminated	
GCA_020555745.1	Hoylesella buccalis	28127	Contig	163	3152030	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/555/745/GCA_020555745.1_ASM2055574v1/	na	unflagged_control	GCA_937967885.1
GCA_946190385.1	Streptococcus mitis	28037	Contig	719	2233877	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/190/385/GCA_946190385.1_U14_S53/	contaminated	flagged_contaminated	
GCA_001579035.1	Streptococcus mitis	28037	Scaffold	521	2122552	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/035/GCA_001579035.1_ASM157903v1/	na	unflagged_control	GCA_946190385.1
GCA_900148635.1	Enterococcus faecium	1352	Scaffold	541	2983423	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/148/635/GCA_900148635.1_Hp_7-6_05/	contaminated	flagged_contaminated	
GCA_000764975.1	Enterococcus faecium	1352	Contig	541	2805855	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/975/GCA_000764975.1_ASM76497v1/	na	unflagged_control	GCA_900148635.1
GCA_945828855.1	Mobilibacterium timonense	1871012	Contig	250	1531804	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/828/855/GCA_945828855.1_SRR5240749_bin.6_metaWRAP_v1.3_MAG/	contaminated; unverified source organism; derived from metagenome	flagged_contaminated	
GCA_900155555.1	Mobilibacterium timonense	1871012	Contig	8	2086038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/155/555/GCA_900155555.1_PRJEB18028/	na	unflagged_control	GCA_945828855.1
GCA_053004055.1	Klebsiella michiganensis	1134687	Contig	11	6843946	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/004/055/GCA_053004055.1_ASM5300405v1/	contaminated	flagged_contaminated	
GCA_014103175.1	Klebsiella michiganensis	1134687	Contig	11	6649205	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/103/175/GCA_014103175.1_ASM1410317v1/	na	unflagged_control	GCA_053004055.1
GCA_043649235.1	Klebsiella ornithinolytica	54291	Contig	73	6087499	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/649/235/GCA_043649235.1_PDT002383734.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_043828725.1	Klebsiella ornithinolytica	54291	Contig	73	6029430	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/828/725/GCA_043828725.1_ASM4382872v1/	na	unflagged_control	GCA_043649235.1
GCA_021485195.1	Escherichia coli	562	Contig	167	5167699	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/485/195/GCA_021485195.1_PDT001222789.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000353545.1	Escherichia coli O104:H4 str. E92/11	562	Scaffold	167	5330547	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/353/545/GCA_000353545.1_E92_11NrN01/	na	unflagged_control	GCA_021485195.1
GCA_015901025.1	Citrobacter freundii	546	Contig	215	5785086	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/901/025/GCA_015901025.1_PDT000869641.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_018444815.2	Citrobacter freundii	546	Scaffold	215	5602229	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/444/815/GCA_018444815.2_ASM1844481v2/	na	unflagged_control	GCA_015901025.1
GCA_963603485.1	Dorea formicigenerans	39486	Scaffold	162	2216426	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/603/485/GCA_963603485.1_E07148-L1_cleanbin_000020_GreatApes/	contaminated; unverified source organism; derived from metagenome; genome length too small	flagged_contaminated	
GCA_040096715.1	Dorea formicigenerans	39486	Contig	167	3531563	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/096/715/GCA_040096715.1_ASM4009671v1/	na	unflagged_control	GCA_963603485.1
GCA_037065105.1	Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	Contig	21	2721564	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/065/105/GCA_037065105.1_ASM3706510v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_015558365.1	Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	Scaffold	31	3146046	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/558/365/GCA_015558365.1_ASM1555836v1/	na	unflagged_control	GCA_037065105.1
GCA_949503855.1	Lactococcus cremoris subsp. cremoris A76	1359	Contig	549	1745662	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/503/855/GCA_949503855.1_extra-ERR1762069.4_1677794804/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_001622365.1	Lactococcus cremoris	1359	Contig	374	2586136	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/622/365/GCA_001622365.1_ASM162236v1/	na	unflagged_control	GCA_949503855.1
GCA_053539645.1	Salmonella enterica subsp. enterica serovar Weltevreden	28901	Contig	176	5033114	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/539/645/GCA_053539645.1_ASM5353964v1/	contaminated	flagged_contaminated	
GCA_000389475.1	Salmonella enterica subsp. enterica serovar Agona str. 68.U.05	28901	Scaffold	176	4758793	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/475/GCA_000389475.1_68.U.05/	na	unflagged_control	GCA_053539645.1
GCA_022877905.2	Citrobacter freundii	546	Contig	192	5521192	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/877/905/GCA_022877905.2_PDT001280808.2/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001413335.1	Citrobacter freundii	546	Contig	192	5251447	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/413/335/GCA_001413335.1_ASM141333v1/	na	unflagged_control	GCA_022877905.2
GCA_949117645.1	Muribaculum intestinale	1796646	Scaffold	298	2493142	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/117/645/GCA_949117645.1_MGBC135094/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_009856815.1	Muribaculum intestinale	1796646	Contig	159	3560993	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/856/815/GCA_009856815.1_ASM985681v1/	na	unflagged_control	GCA_949117645.1
GCA_001653895.1	Ectopseudomonas chengduensis	489632	Contig	19	5239535	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/895/GCA_001653895.1_ASM165389v1/	contaminated	flagged_contaminated	
GCA_900102635.1	Ectopseudomonas chengduensis	489632	Scaffold	45	5413065	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/635/GCA_900102635.1_IMG-taxon_2663762777_annotated_assembly/	na	unflagged_control	GCA_001653895.1
GCA_050577655.1	Acinetobacter baumannii	470	Contig	60	3897808	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/577/655/GCA_050577655.1_ASM5057765v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000299655.1	Acinetobacter baumannii ZWS1122	470	Contig	60	3937258	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/655/GCA_000299655.1_ASM29965v1/	na	unflagged_control	GCA_050577655.1
GCA_001541865.1	Pediococcus pentosaceus	1255	Contig	537	2181713	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/865/GCA_001541865.1_ASM154186v1/	contaminated	flagged_contaminated	
GCA_054848065.1	Pediococcus pentosaceus	1255	Scaffold	143	1825208	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/848/065/GCA_054848065.1_ASM5484806v1/	na	unflagged_control	GCA_001541865.1
GCA_900012025.1	Clostridioides difficile	1496	Contig	1540	4279789	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/025/GCA_900012025.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_030251615.1	Clostridioides difficile	1496	Contig	1511	4161707	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/251/615/GCA_030251615.1_ASM3025161v1/	na	unflagged_control	GCA_900012025.1
GCA_032887755.1	Candidatus Phytoplasma australasiaticum subsp. ipomoeae	2754999	Scaffold	160	632325	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/887/755/GCA_032887755.1_ASM3288775v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_030586965.1	Candidatus Phytoplasma australasiaticum subsp. australasiaticum	2754999	Scaffold	57	587003	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/586/965/GCA_030586965.1_ASM3058696v1/	na	unflagged_control	GCA_032887755.1
GCA_028328725.1	Parabacteroides merdae	46503	Contig	70	4497434	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/328/725/GCA_028328725.1_ASM2832872v1/	contaminated	flagged_contaminated	
GCA_039757135.1	Parabacteroides merdae	46503	Scaffold	70	4424479	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/757/135/GCA_039757135.1_ASM3975713v1/	na	unflagged_control	GCA_028328725.1
GCA_963539015.1	Actinomyces graevenitzii	55565	Contig	238	941046	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/539/015/GCA_963539015.1_SRR17301074_bin.12_MetaWRAP_v1.3_MAG/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_000466185.1	Actinomyces graevenitzii F0530	55565	Scaffold	91	2090952	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/185/GCA_000466185.1_ASM46618v1/	na	unflagged_control	GCA_963539015.1
GCA_042740735.1	Kitasatospora papulosa	1464011	Scaffold	230	7814553	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/740/735/GCA_042740735.1_ASM4274073v1/	contaminated	flagged_contaminated	
GCA_042740805.1	Kitasatospora papulosa	1464011	Scaffold	226	7810224	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/740/805/GCA_042740805.1_ASM4274080v1/	na	unflagged_control	GCA_042740735.1
GCA_013169905.1	Serratia marcescens	615	Contig	228	5712433	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/169/905/GCA_013169905.1_ASM1316990v1/	contaminated	flagged_contaminated	
GCA_052997995.1	Serratia marcescens	615	Scaffold	228	6005461	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/997/995/GCA_052997995.1_ASM5299799v1/	na	unflagged_control	GCA_013169905.1
GCA_934842265.1	Faecalibacterium prausnitzii	853	Scaffold	969	2035786	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/934/842/265/GCA_934842265.1_MTG225_bin.35.fa/	contaminated; unverified source organism; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_024462975.1	Faecalibacterium prausnitzii	853	Contig	692	3333752	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/462/975/GCA_024462975.1_ASM2446297v1/	na	unflagged_control	GCA_934842265.1
GCA_943322835.2	Flavobacterium psychrophilum	96345	Contig	453	4395482	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/322/835/GCA_943322835.2_HRS-ES2-bin-457/	contaminated; unverified source organism; derived from metagenome; genome length too large	flagged_contaminated	
GCA_001510875.1	Flavobacterium psychrophilum	96345	Contig	433	2945333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/875/GCA_001510875.1_ASM151087v1/	na	unflagged_control	GCA_943322835.2
GCA_049288895.1	Ruminococcus bromii	40518	Contig	333	1676692	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/288/895/GCA_049288895.1_ASM4928889v1/	contaminated; annotation fails MAG completeness check; derived from metagenome	flagged_contaminated	
GCA_029076725.1	Ruminococcus bromii	40518	Contig	37	2675335	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/076/725/GCA_029076725.1_ASM2907672v1/	na	unflagged_control	GCA_049288895.1
GCA_949391805.1	Lactobacillus johnsonii	33959	Contig	371	1216289	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/391/805/GCA_949391805.1_extra-SRR6032565.21_1677799111/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_042714215.1	Lactobacillus johnsonii	33959	Contig	272	1904688	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/714/215/GCA_042714215.1_ASM4271421v1/	na	unflagged_control	GCA_949391805.1
GCA_025237925.1	Pseudomonas aeruginosa	287	Scaffold	103	6985192	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/237/925/GCA_025237925.1_ASM2523792v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000757505.1	Pseudomonas aeruginosa	287	Scaffold	103	6380264	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/505/GCA_000757505.1_PRTA/	na	unflagged_control	GCA_025237925.1
GCA_022749025.1	Klebsiella pneumoniae	573	Contig	2165	6676140	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/025/GCA_022749025.1_ASM2274902v1/	contaminated; fragmented assembly	flagged_contaminated	
GCA_003401045.1	Klebsiella pneumoniae	573	Contig	1974	6135294	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/045/GCA_003401045.1_ASM340104v1/	na	unflagged_control	GCA_022749025.1
GCA_900499875.1	Escherichia coli	562	Contig	307	5331123	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/499/875/GCA_900499875.1_839B/	contaminated	flagged_contaminated	
GCA_000781145.1	Escherichia coli	562	Scaffold	307	5429765	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/781/145/GCA_000781145.1_ASM78114v1/	na	unflagged_control	GCA_900499875.1
GCA_964252025.1	Escherichia coli	562	Contig	15	5329614	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/252/025/GCA_964252025.1_77-2014-01-7010/	contaminated	flagged_contaminated	
GCA_000458155.1	Escherichia coli HVH 145 (4-5672112)	562	Scaffold	15	5373801	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/458/155/GCA_000458155.1_Esch_coli_HVH_145_4-5672112_V1/	na	unflagged_control	GCA_964252025.1
GCA_004377595.1	Oenococcus oeni	1247	Scaffold	32	1811457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/377/595/GCA_004377595.1_ASM437759v1/	contaminated	flagged_contaminated	
GCA_000286175.1	Oenococcus oeni AWRIB422	1247	Contig	32	1814530	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/175/GCA_000286175.1_AWRIB422_v1/	na	unflagged_control	GCA_004377595.1
GCA_003343585.1	Limosilactobacillus fermentum	1613	Scaffold	161	1758796	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/343/585/GCA_003343585.1_ASM334358v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_053471025.1	Limosilactobacillus fermentum	1613	Contig	161	2002917	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/471/025/GCA_053471025.1_ASM5347102v1/	na	unflagged_control	GCA_003343585.1
GCA_031955765.1	Escherichia coli	562	Contig	153	5850362	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/955/765/GCA_031955765.1_PDT001838097.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000166595.2	Escherichia coli TW11681	562	Contig	153	5305843	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/595/GCA_000166595.2_ASM16659v2/	na	unflagged_control	GCA_031955765.1
GCA_900013985.1	Clostridioides difficile	1496	Contig	1186	4169564	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/013/985/GCA_900013985.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_002302985.1	Clostridioides difficile	1496	Contig	1185	3967225	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/302/985/GCA_002302985.1_ASM230298v1/	na	unflagged_control	GCA_900013985.1
GCA_009208415.1	Mycobacterium tuberculosis	1773	Contig	105	4379761	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/208/415/GCA_009208415.1_ASM920841v1/	contaminated	flagged_contaminated	
GCA_000649495.1	Mycobacterium tuberculosis 2088HD	1773	Scaffold	105	4397667	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/649/495/GCA_000649495.1_Myco_tube_2088HD_V1/	na	unflagged_control	GCA_009208415.1
GCA_014649615.1	Streptomyces griseorubens	66897	Scaffold	148	7730153	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/615/GCA_014649615.1_ASM1464961v1/	contaminated; not used as type	flagged_contaminated	
GCA_051201135.1	Streptomyces griseorubens	66897	Contig	75	7662408	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/201/135/GCA_051201135.1_ASM5120113v1/	na	unflagged_control	GCA_014649615.1
GCA_947071135.1	Alistipes putredinis	28117	Contig	243	1812122	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/071/135/GCA_947071135.1_SRR13840147_bin.4_metawrap_v1.3_MAG/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_024462405.1	Alistipes putredinis	28117	Contig	265	2806976	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/462/405/GCA_024462405.1_ASM2446240v1/	na	unflagged_control	GCA_947071135.1
GCA_029998035.1	Escherichia coli	562	Contig	123	5406374	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/998/035/GCA_029998035.1_ASM2999803v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000354275.2	Escherichia coli 2875000	562	Contig	123	5053177	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/275/GCA_000354275.2_ASM35427v2/	na	unflagged_control	GCA_029998035.1
GCA_008806575.1	Neorhizobium galegae	399	Scaffold	119	6194570	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/806/575/GCA_008806575.1_ASM880657v1/	contaminated; unverified source organism	flagged_contaminated	
GCA_023702215.1	Neorhizobium galegae	399	Scaffold	121	6209356	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/702/215/GCA_023702215.1_ASM2370221v1/	na	unflagged_control	GCA_008806575.1
GCA_944739485.1	Staphylococcus coagulans	74706	Scaffold	896	2634664	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/739/485/GCA_944739485.1_21S00083-1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_031344205.1	Staphylococcus coagulans	74706	Scaffold	506	2676062	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/344/205/GCA_031344205.1_ASM3134420v1/	na	unflagged_control	GCA_944739485.1
GCA_965571705.1	Dysosmobacter welbionis	2093857	Contig	3	3789931	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/571/705/GCA_965571705.1_W47_assembly/	contaminated	flagged_contaminated	
GCA_965570335.1	Dysosmobacter welbionis	2093857	Contig	3	3836582	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/570/335/GCA_965570335.1_W56_assembly/	na	unflagged_control	GCA_965571705.1
GCA_026283055.1	Escherichia coli	562	Contig	1273	5683858	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/283/055/GCA_026283055.1_ASM2628305v1/	contaminated	flagged_contaminated	
GCA_032029495.1	Escherichia coli	562	Contig	1272	5608332	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/029/495/GCA_032029495.1_ASM3202949v1/	na	unflagged_control	GCA_026283055.1
GCA_003931985.1	Morganella morganii	582	Scaffold	36	4966326	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/931/985/GCA_003931985.1_ASM393198v1/	contaminated	flagged_contaminated	
GCA_018475005.1	Morganella morganii subsp. morganii	582	Contig	36	3846229	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/475/005/GCA_018475005.1_ASM1847500v1/	na	unflagged_control	GCA_003931985.1
GCA_051528255.1	Salmonella enterica subsp. enterica serovar Enteritidis	28901	Contig	46	4775020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/528/255/GCA_051528255.1_ASM5152825v1/	contaminated	flagged_contaminated	
GCA_000188595.2	Salmonella enterica subsp. enterica serovar Montevideo str. 414877	28901	Contig	46	4651384	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/595/GCA_000188595.2_ASM18859v2/	na	unflagged_control	GCA_051528255.1
GCA_900011675.1	Clostridioides difficile	1496	Contig	1146	4221227	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/011/675/GCA_900011675.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_019427725.1	Clostridioides difficile	1496	Scaffold	1146	4317631	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/427/725/GCA_019427725.1_ASM1942772v1/	na	unflagged_control	GCA_900011675.1
GCA_015930725.1	Citrobacter freundii	546	Contig	169	5245030	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/930/725/GCA_015930725.1_PDT000798424.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001413045.1	Citrobacter freundii	546	Contig	169	5331591	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/413/045/GCA_001413045.1_ASM141304v1/	na	unflagged_control	GCA_015930725.1
GCA_900490605.1	Escherichia coli	562	Contig	198	4916581	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/605/GCA_900490605.1_De_novo_assembly_of_KCRI_isolate_R0004_115/	contaminated	flagged_contaminated	
GCA_000354895.2	Escherichia coli 2731150	562	Contig	198	5142363	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/895/GCA_000354895.2_ASM35489v2/	na	unflagged_control	GCA_900490605.1
GCA_041098155.1	Escherichia coli	562	Scaffold	142	5141312	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/098/155/GCA_041098155.1_ASM4109815v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000357765.2	Escherichia coli P0302308.2	562	Contig	142	5191434	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/357/765/GCA_000357765.2_ASM35776v2/	na	unflagged_control	GCA_041098155.1
GCA_900014575.1	Clostridioides difficile	1496	Contig	551	4161164	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/014/575/GCA_900014575.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_002301705.1	Clostridioides difficile	1496	Contig	550	4337457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/301/705/GCA_002301705.1_ASM230170v1/	na	unflagged_control	GCA_900014575.1
GCA_937875835.1	Thermodesulfovibrio thiophilus	340095	Contig	149	1774798	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/875/835/GCA_937875835.1_SRR5007349_bin.118_CONCOCT_v1.1_MAG/	contaminated; derived from metagenome	flagged_contaminated	
GCA_000423865.1	Thermodesulfovibrio thiophilus DSM 17215	340095	Scaffold	19	1871474	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/865/GCA_000423865.1_ASM42386v1/	na	unflagged_control	GCA_937875835.1
GCA_016820335.1	Escherichia coli	562	Contig	8	5325061	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/820/335/GCA_016820335.1_ASM1682033v1/	contaminated	flagged_contaminated	
GCA_000181755.1	Escherichia coli O157:H7 str. EC4045	562	Scaffold	8	5634850	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/755/GCA_000181755.1_ASM18175v1/	na	unflagged_control	GCA_016820335.1
GCA_949528655.1	Helicobacter apodemus	135569	Contig	359	1489317	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/528/655/GCA_949528655.1_extra-SRR5927728.20_1677798645/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_000765745.2	Helicobacter apodemus	135569	Contig	139	2068160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/745/GCA_000765745.2_ASM76574v2/	na	unflagged_control	GCA_949528655.1
GCA_004683735.1	Pseudomonas syringae	317	Contig	2214	7054625	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/683/735/GCA_004683735.1_ASM468373v1/	contaminated; unverified source organism; fragmented assembly; low quality sequence	flagged_contaminated	
